transcription,transcription_hubert
BRIBES FAIL WHERE HONEST MEN WORK,BRIBES FAIL WHERE HONEST MEN WORK
TRAMPLE THE SPARK,TRAMPLE THE SPARK
ELSE THE FLAMES WILL SPREAD,ELSE THE FLAMES WIL SPREAD
THE HILT OF THE SWORD WAS CARVED WITH FINE DESIGNS,THE HILT OF THE SWORD WAS CARVED WITH FINE DESIGNS
A ROUND HOLE WAS DRILLED THROUGH THE THIN BOARD,A ROUND HOLE WAS DRILED THROUGH THE THIN BOARD
FOOTPRINTS SHOWED THE PATH HE TOOK UP THE BEACH,FOTPRINTS SHOWED THE PATH HE TOK UP THE BEACH
SHE WAS WAITING AT MY FRONT LAWN,SHE WAS WAITING AT MY FRONT LAWN
A VENT NEAR THE EDGE BROUGHT IN FRESH AIR,EVENT NEAR THE EDGE BROADEND FRESH AIR
PROD THE OLD MULE WITH A CROOKED STICK,PROD THE OLD MULE WITH A CROKED STICK
IT IS A BAND OF STEEL THREE INCHES WIDE,IT IS A BEND OF STEL THRE INCHES WIDE
THE PIPE RAN ALMOST THE LENGTH OF THE DITCH,THE PIPE RAN ALMOST THE LENGTH OF THE DITCH
IT WAS HIDDEN FROM SIGHT BY A MASS OF LEAVES AND SHRUBS,IT WAS HIDEN FROM SIGHT BY A MAS OF LEAVES AND SHRUBS
THE WEIGHT OF THE PACKAGE WAS SEEN ON THE HIGH SCALE,THE WEIGHT OF THE PACKAGE WAS SEN ON THE HIGH SCALE
WAKE AND RISE,WAKE AND RISE
AND STEP INTO THE GREEN OUTDOORS,AND STEP INTO THE GREN OUTDORS
THE GREEN LIGHT IN THE BROWN BOX FLICKERED,THE GREN LIGHT IN THE BROWN BOX FLICKERED
THE BRASS TUBE CIRCLED THE HIGH WALL,THE BRAS TUBE CIRCLED THE HIGH WAL
THE LOBES OF HER EARS WERE PIERCED TO HOLD RINGS,THE LOPES OF HER EARS WERE PIERCED TO WHOLE RINGS
HOLD THE HAMMER NEAR THE END TO DRIVE THE NAIL,HOLD THE HAMER NEAR THE END TO DRIVE THE NAIL
NEXT SUNDAY IS THE TWELFTH OF THE MONTH,NEXT SUNDAY IS THE TWELFTH OF THE MONTH
EVERY WORD IN PHRASE HE SPEAKS IS TRUE,EVERY WORD AND PHRASE HE SPEAKS IS TRUE
HE PUT HIS LAST CARTRIDGE INTO THE GUN AND FIRED,HE PUT HIS LAST CARTRIDGE INTO THE GUN AND FIRED
THEY TOOK THEIR KIDS FROM THE PUBLIC SCHOOL,THEY TOK THEIR KIDS FROM THE PUBLIC SCHOL
DRIVE THE SCREW STRAIGHT INTO THE WOOD,DRIVE THE SCREW STRAIGHT INTO THE WOD
KEEP THE HATCH TIGHT ON THE WATCH CONSTANT,KEP THE HATCH TIGHT AND THE WATCH CONSTANT
SEVER THE TWINE WITH A QUICK SNIP OF THE KNIFE,SEVER THE TWINE WITH A QUICK SNIP OF THE KNIFE
PAPER WILL DRY OUT WHEN WET,PAPER WIL DRY OUT WHEN WET
SLIDE THE CATCH BACK AND OPEN THE DESK,SLIDE THE CATCH BACK AND OPEN THE DESK
HELP THE WEAK TO PRESERVE THEIR STRENGTH,HELP THE WEAK TO PRESERVE THEIR STRENGTH
A SULLEN SMILE GETS FEW FRIENDS,A SULEN SMILE GETS FEW FRIENDS
STOP WHISTLING AND WATCH THE BOYS MARCH,STOP WHISTLING AND WATCH THE BOYS MARCH
JERK THE CORD,JERK THE CORD
AND OUT TUMBLES THE GOLD,AND OUT TUMBLES THE COLD
SLIDE THE TRAY ACROSS THE GLASS TOP,SLIDE THE TRAY ACROS THE GLAS TOP
THE CLOUD MOVED IN A STATELY WAY AND WAS GONE,THE CLOUD MOVED IN A STATELY WAY AND WAS GONE
LIGHT MAPLE MAKES FOR A SWELL ROOM,LIGHT MAPLE MAKES FOR A SWEL ROM
SET THE PEACE HERE AND SAY NOTHING,SET THE PECE HERE AND SAY NOTHING
DULL STORIES MAKE HER LAUGH,DOLVE STORIES MAKE OR LAUGH
A STIFF CORD WILL DO TO FASTEN YOUR SHOE,A STIF CORD WIL DO TO FASTEN YOUR SHOE
GET THE TRUST FUND TO THE BANK EARLY,GET THE TRUST FUND TO THE BANK EARILY
CHOOSE BETWEEN THE HIGH ROAD AND THE LOW,CHOSE BETWEN THE HIGH ROAD AND THE LOW
A PLEA FOR FUNDS SEEMS TO COME AGAIN,A PLEA FOR FUNDS SEMS TO COME AGAIN
HE LENT HIS COAT TO THE TALL GAUNT STRANGER,HE LENT HIS COAT TO THE TAL GAUNT STRANGER
THERE IS A STRONG CHANCE IT WILL HAPPEN ONCE MORE,THERE IS A STRONG CHANCE IT WIL HAPEN ONCE MORE
THE DUKE LEFT THE PARK IN A SILVER COACH,THE DUKE LEFT THE PARK IN A SILVER COACH
GREET THE NEW GUESTS AND LEAVE QUICKLY,GRET THE NEW GUESTS AND LEAVE QUICKLY
WHEN THE FROST HAS COME IT IS TIME FOR TURKEY,WHEN THE FROST HAS COME IT IS TIME FOR TURKEY
SWEET WORDS WORK BETTER THAN FIERCE,SWET WORDS WORK BETER THAN FIEARCE
A THIN STRIPE RUNS DOWN THE MIDDLE,A THIN STRIPE RUNS DOWN THE MIDLE
A SIX COMES UP MORE OFTEN THAN A TEN,A SIX COMES UP MORE OFTEN THAN A CHAN
LUSH FERN GROW ON THE LOFTY ROCKS,LUSH FERNS GROW ON THE LOFTY ROCKS
THE RAM SCARED THE SCHOOL CHILDREN OFF,THE RAM SCARED THE SCHOL CHILDREN OF
THE TEAM WITH THE BEST TIMING LOOKS GOOD,THE TEAM WITH THE BEST TIMING LOKS GOD
THE FARMER SWAPPED HIS HORSE FOR A BROWN OX,THE FARMER SWAPED HIS HORSE FOR A BROWN OX
SIT ON THE PERCH AND TELL THE OTHERS WHAT TO DO,SIT ON THE PERCH AND TEL THE OTHERS WHAT TO DO
A STEEP TRAIL IS PAINFUL FOR OUR FEET,A STEP TRAIL IS PAINFUL FOR OUR FET
THE EARLY PHASE OF LIFE MOVES FAST,THE EARLY PHASE OF LIFE MOVES FAST
GREEN MOSS GROWS ON THE NORTHERN SIDE,GREN MOS ROWS ON THE NORTHERN SIDE
TEA IN THIN CHINA HAS A SWEET TASTE,TEA IN THIN CHINA HAS A SWET TASTE
PITCH THE STRAW THROUGH THE DOOR OF THE STABLE,PITCH THE STRAW THROUGH THE DOR OF THE STABLE
THE LATCH ON THE BACK GATE NEEDED A NAIL,THE LATCH ON THE BACK GATE NEDED A NAIL
THE GOOSE WAS BROUGHT STRAIGHT FROM THE OLD MARKET,THE GOSE WAS BROUGHT STRAIGHT FROM THE OLD MARKET
THE SINK IS THE THING IN WHICH WE PILE DISHES,THE SINK IS THE THING IN WHICH WE PILE DISHES
A WHIFF OF IT WILL CURE THE MOST STUBBORN COLD,A WHIF OF IT WIL CURE THE MOST STUBORN COLD
THE FACTS DON'T ALWAYS SHOW WHO IS RIGHT,THE FACTS DON'T ALWAYS SHOW WHO IS RIGHT
SHE FLAPS HER CAPE AS SHE PARADES THE STREET,SHE FLAPS HER CAPE AS SHE PARADES THE STRAIT
THE LOSS OF THE CRUISER WAS A BLOW TO THE FLEET,THE LOS OF THE CRUISER WAS A BLOW TO THE FLET
LOOP THE BRAID TO THE LEFT AND THEN OVER,LOP THE BRAD TO THE LEFT AND THEN OVER
PLEAD WITH THE LAWYER TO DROP THE LOST CAUSE,PLEAD WITH A LAWYER TO DROP THE LOST CAUSE
CALVES THRIVE ON TENDER SPRING GRASS,CALFS THRIVE ON TENDER SPRING GRAS
POST NO BILLS ON THIS OFFICE WALL,POST NO BILS ON THIS SOFICE WAL
TEAR A THIN SHEET FROM THE YELLOW PAD,TEAR A THIN SHET FROM THE YELOW PAD
A CRUISE IN WARM WATERS IN A SLEEK YACHT IS FUN,A CRUISE IN WARM WATERS IN A SLEK YACHT IS FUN
A STREAK OF COLOR RAN DOWN THE LEFT EDGE,A STREAK OF COLOR RAN DOWN THE LEFT HEDGE
IT WAS DONE BEFORE THE BOY COULD SEE IT,IT WAS DONE BEFORE THE BOY COULD SE IT
CROUCH BEFORE YOU JUMP OR MISS THE MARK,CROUCH BEFORE YOU JUMP OR MIS THE MARK
PACK THE KITS AND DON'T FORGET THE SALT,PACK THE KIDS AND DON'T FORGET THE SALT
THE SQUARE PEG WILL SETTLE IN THE ROUND HOLE,THE SQUARE PEG WIL SETLE IN THE ROUND HOLE
FINE SOAP SAVES TENDER SKIN,FINE SOAP SAVES TENDER SKIN
POACHED EGGS AND TEA MUST SUFFICE,POACHED EGS AND TEA MUST SUFICE
BAD NERVES ARE JANGLED BY A DOOR SLAM,BAD NERVES ARE JANGLED BY A DOR SLAM
SHIP MAPS ARE DIFFERENT FROM THOSE FOR PLANES,SHIP MAPS ARE DIFERENT FROM THOSE FOR PLAINS
DIMES SHOWERED DOWN FROM ALL SIDES,DIMES SHOWERED DOWN FROM AL SIDES
THEY SANG THE SAME TUNES AT EACH PARTY,THEY SANG THE SAME TUNES AT EACH PARTY
THE SKY AND THE WEST IS TINGED WITH ORANGE RED,THE SKY IN THE WEST IS TINGED WITH ORANGE RED
THE PODS OF PEACE FERMENT IN BARE FIELDS,THE PONDS OF PEASE FERMENT IN BARE FIELDS
THE HORSE BALKED AND THREW THE TALL RIDER,THE HORSE BALKED AND THREW THE TAL RIDER
THE HITCH BETWEEN THE HORSE AND CART BROKE,THE HITCH BETWEN THE HORSE AND CART BROKE
PILE THE COAL HIGH IN THE SHED CORNER,PILE THE COAL HIGH IN THE SHED CORNER
A GOLD VASE IS BOTH RARE AND COSTLY,A GOLD VASE IS BOTH RARE AND COSTLY
THE KNIFE WAS HUNG INSIDE ITS BRIGHT SHEATH,THE KNIFE WAS HUNG INSIDE ITS BRIGHT SHEATH
THE RAREST SPICE COMES FROM THE FAR EAST,THE RAREST SPICE COMES FROM THE FAR EAST
THE ROOF SHOULD BE TILTED AT A SHARP SLANT,THE ROF SHOULD BE TILTED AT A SHARP SLANT
A SMATTER OF FRENCH IS WORSE THAN NONE,A SMATER OF FRENCH IS WORSE THAN NONE
THE MULE TROD THE TREADMILL DAY AND NIGHT,THE MULE TROD THE TREADMIL DAY AND NIGHT
THE AIM OF THE CONTEST IS TO RAISE A GREAT FUND,THE AIM OF THE CONTEST IS TO RAISE A GREAT FUND
TO SEND IT NOW IN LARGE AMOUNTS IS BAD,TO SEND IT NOW IN LARGE AMOUNTS IS BAD
THERE IS A FINE HARD TANG IN SALTY AIR,THERE'S A FINE HARD TANG IN SALT AIR
COD IS THE MAIN BUSINESS OF THE NORTH SHORE,CODT IS THE MAIN BUSINES OF THE NORTH SHORE
THE SLAB WAS HEWN FROM HEAVY BLOCKS OF SLATE,THE SLAB WAS HEWN FROM HEAVY BLOCKS OF SLATE
DUNK THE STALE BISCUITS INTO STRONG DRINK,DUNK THE STALE BISCUITS INTO STRONG DRINK
HANG TINSEL FROM BOTH BRANCHES,HANG TINSEL FROM BOTH BRANCHES
CAMP THE JAR WITH A TIGHT BRASS COVER,CAP THE JAR WITH A TIGHT BRAS COVER
THE POOR BOY MISSED THE BOAT AGAIN,THE POR BOY MISED THE BOAT AGAIN
BE SURE TO SET THAT LAMP FIRMLY IN THE HOLE,BE SURE TO SET THAT LAMP FIRMLY IN THE HOLE
PICK A CARD AND SLIP IT UNDER THE PACK,PICK A CART AND SLIP IT UNDER THE PACK
A ROUND MAT WILL COVER THE DULL SPOT,A ROUND MAT WIL COVER THE DUL SPOT
THE FIRST PART OF THE PLAN NEEDS CHANGING,THE FIRST PART OF THE PLAN NEDS CHANGING
A GOOD BOOK IN FORMS OF WHAT WE OUGHT TO KNOW,A GOD BOK INFORMS OF WHAT WE OUGHT TO KNOW
THE MAIL COMES IN THREE BATCHES PER DAY,THE MAIL COMES IN THRE BATCHES PER DAY
YOU CANNOT BREW TEA IN A COLD POT,YOU CANOT BRUTI IN A COLD POT
DOTS OF LIGHT BETRAYED THE BLACK CAT,DOTS OF LIGHT BETRAYED THE BLACK CAT
PUT THE CHART ON THE MANTEL AND TACK IT DOWN,PUT THE CHART ON THE MANTL AND TACK IT DOWN
THE NIGHT SHIFT MEN RATE EXTRA PAY,THE NIGHTSHIFTMEN RATE EXTRA PAY
THE RED PAPER BRIGHTENED THE DIM STAGE,THE RED PAPER BRIGHTENED THE DIM STAGE
SEE THE PLAYER SCOOT TO THIRD BASE,SE THE PLAYER SCOPE TO THIRD BASE
SLIDE THE BILL BETWEEN THE TWO LEAVES,SLIDE THE BIL BETWEN THE TWO LEAVES
MANY HANDS HELP GET THE JOB DONE,MANY HANDS HELP GET THE JOB DONE
WE DON'T LIKE TO ADMIT OUR SMALL FAULTS,WE DON'T LIKE TO ADMIT OUR SMAL FAULTS
NO DOUBT ABOUT THE WAY THE WIND BLOWS,NO DOUBT ABOUT THE WAY THE WIND BLOWS
DIG DEEP IN THE EARTH FOR PIRATE'S GOLD,DIG DEP IN THE EARTH FOR PIRATES GOLD
THE STEADY DRIP IS WORSE THAN A DRENCHING RAIN,THE STEADY DRIP IS WORSE THAN A DRENCHING RAIN
A FLAT PACK TAKES LESS LUGGAGE SPACE,A FLAT PACK TAKES LES LUGAGE SPACE
GREEN ICE FROSTED THE PUNCH BOWL,GREN ICE FROST OF THE PUNCH BOWL
A STUFF CHAIR SLIPPED FROM THE MOVING VAN,A STUFED CHAIR SLIPED FROM THE MOVING VAN
THE STITCH WILL SERVE BUT NEEDS TO BE SHORTENED,THE STITCH WIL SERVE BUT NEDS TO BE SHORTENED
A THIN BOOK FITS IN THE SIDE POCKET,A THIN BOK FITS IN THE SIDE POCKET
THE GLOSS ON TOP MADE IT UNFIT TO READ,THE GLOS ON TOP MADE IT UNFIT TO READ
THE HAIL PATTERED ON THE BURNT BROWN GRASS,THE HEL PATERED ON THE BURNT BROWN GRAS
SEVEN SEALS WERE STAMPED ON GREAT SHEETS,SEVEN SEALS WERE STAMPED ON GREAT SHETS
OUR TROOPS ARE SET TO STRIKE HEAVY BLOWS,OUR TROPS ARE SAID TO STRIKE HEAVY BLOWS
THE STORE WAS JAMMED BEFORE THE SALE COULD START,THE STORE WAS JAMED BEFORE THE SALE COULD START
IT WAS A BAD ERROR ON THE PART OF THE NEW JUDGE,IT WAS A BAD EROR ON THE PART OF THE NEW JUDGE
ONE STEP MORE IN THE BOARD WILL COLLAPSE,ONE STEP MORE AND THE BOARD WIL COLAPSE
TAKE THE MATCH AND STRIKE IT AGAINST YOUR SHOE,TAKE THE MATCH AND STRIKE IT AGAINST YOUR SHOE
THE POT BOILED BUT THE CONTENTS FAILED TO JELL,THE POT BOILED BUT THE CONTENTS FAILED TO JOW
THE BABY PUTS HIS RIGHT FOOT IN HIS MOUTH,THE BABY PUTS HIS RIGHT FOT IN HIS MOUTH
THE BOMBS LEFT MOST OF THE TOWN IN RUINS,THE BOMBS LEFT MOST OF THE TOWN IN RUINS
STOP AND STARE AT THE HARD WORKING MAN,STOP AND STARE AT THE HARD WORKING MAN
THE STREETS ARE NARROW AND FULL OF SHARP TURNS,THE STRETS ARE NAROW AND FUL OF SHARP TURNS
THE PUP JERKED THE LEASH AS HE SAW A FELINE SHAPE,THE PUP JERKED THE LEASH AS HE SAW A FELINE SHAPE
OPEN YOUR BOOK TO THE FIRST PAGE,OPEN YOUR BOK TO THE FIRST PAGE
FISH EVADE THE NET AND SWIM OFF,FISH EVADE THE NET AND SWIM OF
DIP THE PAIL ONCE AND LET IT SETTLE,DIP THE PAIL ONCE AND LET IT SETLE
WILL YOU PLEASE ANSWER THAT PHONE,WIL YOU PLEASE ANSWER THAT PHONE
THE BIG RED APPLE FELL TO THE GROUND,THE BIG RED APLE FEL TO THE GROUND
THE CURTAIN ROSE AND THE SHOW WAS ON,THE CURTAIN ROSE AND THE SHOW WAS ON
THE YOUNG PRINCE BECAME HEIR TO THE THRONE,THE YOUNG PRINCE BECAME HEIR TO THE THRONE
HE SENT THE BOY ON A SHORT ERRAND,HE SENT THE BOY ON A SHORT ERAND
LEAVE NOW AND YOU WILL ARRIVE ON TIME,LEAVE NOW AND YOU WIL ARIVE ON TIME
THE CORNER STORE WAS ROBBED LAST NIGHT,THE CORNER STORE WAS ROBED LAST NIGHT
A GOLD RING WILL PLEASE MOST ANY GIRL,A GOLD RING WIL PLEASE MOST ANY GIRL
THE LONG JOURNEY HOME TOOK A YEAR,THE LONG JOURNEY HOME TOK A YEAR
SHE SAW A CAT IN THE NEIGHBOR'S HOUSE,SHE SAW A CAT IN TE NEIGHBOR'S HOUSE
A PINK SHELL WAS FOUND ON THE SANDY BEACH,A PINK SHEL WAS FOUND ON THE SANDY BEACH
SMALL CHILDREN CAME TO SEE HIM,SMAL CHILDREN CAME TO SE HIM
THE GRASS AND BUSHES WERE WET WITH DEW,THE GRAS AND BUSHES WERE WET WITH DEW
THE BLIND MAN COUNTED HIS OLD COINS,THE BLIND MAN COUNTED HIS OLD COINS
A SEVERE STORM TORED DOWN THE BARN,A SEVERE STORM TORE DOWN THE BARN
SHE CALLED HIS NAME MANY TIMES,SHE CALED HIS NAME MANY TIMES
WHEN YOU HEAR THE BELL COME QUICKLY,WHEN YOU HEAR THE BEL COME QUICKLY
THE BIRCH CANOE SLID ON THE SMOOTH PLANKS,THE BIRCH CANOE SLID ON THE SMOTH PLANKS
GLUE THE SHEET TO THE DARK BLUE BACKGROUND,GLE THE SHET TO THE DARK BLUE BACKGROUND
IT'S EASY TO TELL THE DEPTH OF A WELL,IT'S EASY TO TEL THE DEPTH OF A WEL
THESE DAYS A CHICKEN LEG IS A RARE DISH,THESE DAYS A CRICKEN LEG IS A RARE DISH
RICE IS OFTEN SERVED IN ROUND BOWLS,RICE IS OFTEN SERVED IN ROUND BALS
THE JUICE OF LEMONS MAKES FINE PUNCH,THE JUICE OF LEMONS MAKES FINE PUNCH
THE BOX WAS THROWN BESIDE THE PARKED TRUCK,THE BOX WAS THROWN BESIDE THE PARK TRACK
THE HOGS WERE FED CHOPPED CORN AND GARBAGE,THE HOGS WERE FED CHOPED CORN AND GERBAGE
FOUR HOURS OF STEADY WORK FACED US,FOUR HOURS OF STEADY WALK FACED US
A LARGE SIZE AND STOCKINGS IS HARD TO SELL,A LARGE SIZE IN STOCKINGS IS HARD TO SEL
THE BOY WAS THERE WHEN THE SUN ROSE,THE BOY WAS THERE WHEN THE SUN ROSE
A ROD IS USED TO CATCH PINK SALMON,A ROD IS USED TO CATCH PINK SALMON
THE SOURCE OF THE HUGE RIVER IS THE CLEAR SPRING,THE SOURCE OF THE HUGE RIVER IS THE CUEAR SPRING
KICK THE BALL STRAIGHT AND FOLLOW THROUGH,KEP THE BAL STRAIGHT AND FOLOW THROUGH
HELP THE WOMAN GET BACK TO HER FEET,HEPE THE WOMAN GET BACK TO HER FET
A POT OF TEA HELPS TO PASS THE EVENING,A POT OF TEA HELPS TO PAS THE EVENING
SMOKY FIRES LACK FLAME AND HEAT,SMOKY FIRES LACK FLAME AND HEAT
THE SOFT CUSHION BROKE THE MAN'S FALL,THE SOFT CUSHION BROKE THE MANGEFAL
THE SALT BREEZE CAME ACROSS FROM THE SEA,THE SALT BREZE CAME ACROS FROM THE SEA
THE GIRL AT THE BOOTH SOLD FIFTY BONDS,THE GIRL AT THE BOTH SOLD FIFTY BONDS
THE SMALL PUP GNAWED A HOLE IN THE SACK,THE SMIE PUP NODED HAIL IN THE SONG
THE FISH TWISTED AND TURNED ON THE BENT HOOK,THE FISH TWISTED AND TURNED ON THE BENT HOK
PRESS THE PANTS AND SEW BUTTON ON THE VEST,BREASTLY PAN SIND SILVER BUTON ON YOUR VEST
THE SWAN DIVE WAS FAR SHORT OF PERFECT,THE SWARM DIVE WAS FAR SHORT IF PERFECT
THE BEAUTY OF THE VIEW STUNED THE YOUNG BOY,THE BEAUTY OF THE VIEW STUNED THE YOUNG BOY
TWO BLUE FISH SWAM IN THE TANK,TWO BLUEFISH SWAM IN THE TANK
HER PURSE WAS FULL OF USELESS TRASH,HER POST WAS FUL OF USELES TRASH
THE COLT REARED AND THREW THE TALL RIDER,THE COLTRAED AND THROUGH THE TAL RIDER
IT SNOWED,IT SNOWED
RAINED,RENT
AND HAILED THE SAME MORNING,ANHALE THE SAME WARNING
READ VERSE OUT LOUD FOR PLEASURE,READ VERSE OUT LOUD FOR PLEASURE
HOIST THE LOAD TO YOUR LEFT SHOULDER,HOIST THE LOAD TO YOUR LEFT SHOULDER
TAKE THE WINDING PATH TO REACH THE LAKE,TAKE THE WINDING PATH TO REACH THE LAKE
NOTE CLOSELY THE SIZE OF THE GAS TANK,NOTE CLOSELY THE SIZE OF THE GAS TANK
WIPE THE GREASE OFF HIS DIRTY FACE,WIPE THE GREASE OF HIS DIRTY FACE
MEND THE COAT BEFORE YOU GO OUT,MEN THE COAT BEFORE YOU GO OUT
THE WRIST WAS BADLY STRAINED AND HUNG LIMP,THE WRIST WAS BADLY STRAINED AND HUNG LIMP
THE STRAY CAT GAVE BIRTH TO KITTENS,THE STRAIT CAT GAVE BIRTH TO KITENS
THE YOUNG GIRL GAVE NO CLEAR RESPONSE,THE YOUNG GIRL GAVE NO CLEAR RESPONSE
THE MEAL WAS COOKED BEFORE THE BELL RANG,THE MEAL WAS COKED BEFORE THE BEL RANG
WHAT JOY THERE IS IN LIVING,WHAT JOY THERE IS IN LIVING
A KING RULED THE STATE IN THE EARLY DAYS,A KING RULED THE STATE IN THE EARLY DAYS
THE SHIP WAS TORN APART ON THE SHARP REEF,THE SHIP WAS TORN APART ON THE SHARP REF
SICKNESS KEPT HIM HOME THE THIRD WEEK,SICKNES KEPT HIM HOME THE THIRD WEK
THE WIDE ROAD SHIMMERED IN THE HOT SUN,THE WIDE ROAD SHIMERED IN THE HOT SUN
THE LAZY COW LAY IN THE COOL GRASS,THE LAZY CALET IN THE COL GRAS
LIFT THE SQUARE STONE OVER THE FENCE,LIFT THE SQUARE STONE OVER THE FENCE
THE ROPE WILL BIND THE SEVEN BOOKS AT ONCE,DHO IP WIL BIND THE SEVEN BICKS AT ONCE
HOP OVER THE FENCE AND PLUNGE IN,HOP OVER THE FENCE AND PLUNGE IN
THE FRIENDLY GANG LEFT THE DRUG STORE,THE FRAMBIGANG LEFT THE DRUG STORE
MESH WIRE KEEPS CHICKS INSIDE,MESH WIRE KEPS CHICKS INSIDE
THE FROSTY AIR PASSED THROUGH THE COAT,THE FANCE IEU PASED THROUGH THE COAT
THE CROOKED MAZE FAILED TO FOOL THE MOUSE,THE CROKED MAZE FAILED TO FOL THE MOUSE
ADDING FAST LEADS TO WRONG SUMS,ADING FAST LEAVES TO WRONG SUMS
THE SHOW WAS A FLOP FROM THE VERY START,THE SHOW WAS A FLOP FROM THE VERY START
A SAW AS A TOOL USED FOR MAKING BOARDS,A SAW IS A TOL USED FOR MAKING BORDS
THE WAGON MOVED ON WELL OILED WHEELS,THE WAGON MOVED ON WEL OILED WHELS
MARCH THE SOLDIERS PAST THE NEXT HILL,MARCH THE SOLDIERS PAST THE NEXT HIL
A CUP OF SUGAR MAKES SWEET FUDGE,A CUP OF SUGAR MAKES SWET FOLIAGE
PLACE A ROSEBUSH NEAR THE PORCH STEPS,PLACE A ROSE BUSH NEAR THE PORCH STEPS
BOTH LOST THEIR LIVES IN THE RAGING STORM,BOTH LOST THEIR LIVES IN THE RAGING STORM
WE TALKED OF THE SIDE SHOW IN THE CIRCUS,WE TALKED OF THE SIDE SHOW IN THE CIRCUS
USE A PENCIL TO WRITE THE FIRST DRAFT,USE A PENCIL TO WRITE THE FIRST DRAFT
HE RAN HALFWAY TO THE HARDWARE STORE,HE RAN HALF WAY TO THE HARDWAR STORE
THE CLOCK STRUCK TO MARK THE THIRD PERIOD,THE CLOCK STRUCK TO MARK THE TILED PERIOD
A SMALL CREEK CUT ACROSS THE FIELD,A SMAL CREK CUT ACROS THE FIELD
CARS AND BUSSES STALLED IN SNOW DRIFTS,CARS AND BUSES STALED IN SNOW DRIFTS
THE SET OF CHINA HIT THE FLOOR WITH A CRASH,THE SED OF CHINA HIT THE FLOR WITH A CRASH
THIS IS A GRAND SEASON FOR HYKES ON THE ROAD,THIS IS A GRAND SEASON FOR HIKES ON THE ROAD
THE DUNE ROSE FROM THE EDGE OF THE WATER,THE DONE ROSE FROM THE EDGE OF THE WATER
THOSE WORDS WERE THE CUE FOR THE ACTOR TO LEAVE,THOSE WORDS WERE THE CUE FOR THE ACTOR TO LEAVE
A YACHT SLID AROUND THE POINT INTO THE BAY,A YACHT SLID AROUND THE POINT INTO THE BAY
THE TWO MET WHILE PLAYING ON THE SAND,THE TWO MET WILE PLAYING ON THE SAND
THE INK STAIN DRIED ON THE FINISHED PAGE,THE INK STAIN DRIED ON THE FINISHED PAGE
THE WALLED TOWN WAS SEIZED WITHOUT A FIGHT,THE WID TOWN WAS SEIZED WITHOUT A FIGHT
THE LEASE RAN OUT IN SIXTEEN WEEKS,THE LEASE RAN OUT IN SIXTEN WEKS
A TAME SQUIRREL MAKES A NICE PET,A TAME SQUIREL MAKES A NICE PET
THE HORN OF THE CAR WOKE THE SLEEPING COP,THE HORN OF THE CAR WOKE THE SLEPING COP
THE HEART BEATS STRONGLY AND WITH FIRM STROKES,THE HELD BEAT STRONGLYAND WITH FIRM STROKES
THE PEARL WAS WORN IN A THIN SILVER RING,THE PILE WAS WOUN IN A FIRM SILVER RING
THE FRUIT PEEL WAS CUT IN THICK SLICES,THE FRUIT PEL WAS CUT IN THICK SLICES
THE NAVY ATTACKED THE BIG TASK FORCE,THE NAVY ATACKED THE BIG TASK FORCE
SEE THE CAT GLARING AT THE SCARED MOUSE,SE THE CAT GLARING AT THE SCARED MOUSE
THERE ARE MORE THAN TWO FACTORS HERE,THER ARE MORE THAN TWO FACTORES HERE
THE HAT BRIM WAS WIDE AND TOO DROOPY,THE HAT BRIM WAS WITE AND TO DROPY
THE LAWYER TRIED TO LOSE HIS CASE,THE LAWYER TRIED TO LOSE HIS CASE
THE GRASS CURLED AROUND THE FENCE POST,THE GRAS COLED ROUND THE FERNCE POST
CUT THE PIE INTO LARGE PARTS,CUT THE PIE INTO LARGE PARTS
MEN STRIVE BUT SELDOM GET RICH,MEN STRIFE BUT SELDOM GET RICH
ALWAYS CLOSE THE BARN DOOR TIGHT,ALWAYS CLOSE THE BON DOR TIGHT
HE LAY PRONE AND HARDLY MOVED A LIMB,HE LAY PRONE AND HARDLY MOVED A LIMB
THE SLUSH LAY DEEP ALONG THE STREET,THE SLUSH LAY DEP ALONG THE STRET
A WISP OF CLOUD HUNG IN THE BLUE AIR,A WISP OF CLOUD HUNG IN THE BLUE AIR
A POUND OF SUGAR COSTS MORE THAN EGGS,A POUND OF SUGAR COSTS MORE THAN EGS
THE FIN WAS SHARP AND CUT THE CLEAR WATER,THE FIN WIL SHARPEN AND CUT THE CLEAR WATER
THE PLAY SEEMS DULL AND QUITE STUPID,THE PLACE SEMS DUL AND QUITE STUPID
BAIL THE BOAT TO STOP IT FROM SINKING,BUILD THE BOAT TO STOP IT FROM SINKING
THE TERM ENDED IN LATE JUNE THAT YEAR,THE TERM ENDED IN LATE JUNE THAT YEAR
A TUSK USED TO MAKE COSTLY GIFTS,A TUSK IS USED TO MAKE COSTLY GIFTS
TEN PINS WERE SET IN ORDER,TEN PINS WERE SET IN ORDER
THE BILL WAS PAID EVERY THIRD WEEK,THE BIL WAS PAID EVERY THIRD WEK
OAK IS STRONG AND ALSO GIVES SHADE,OAK IS STRONG AND ALSO GIVES SHADE
CATS AND DOGS EACH HATE THE OTHER,CATS AND DOGS EACH HATE THE OTHER
THE PIPE BEGAN TO RUST WHILE NEW,THE PIPE BEGAN TO RUSTWHELM YOU
OPEN THE CRATE BUT DON'T BREAK THE GLASS,OPEN THE CRATE BUT DON'T BREAK THE GLAS
