transcription,transcription_whisper_base_en
BOTH BROTHERS WERE THE SAME SIZE, Both brothers wear the same size.
IN SOME FORM OR OTHER WE NEED FUN, In some form or other we need fun.
THE PRINCE ORDERED HIS HEAD CHOPPED OFF, The print sorted has had chopped off.
THE HOUSES ARE BUILT OF RED CLAY BRICKS, The houses are built of red clay bricks.
DUCKS FLY NORTH BUT LACK A COMPASS, Ducks fly north but lack a compass
FRUIT FLAVORS ARE USED IN FIZZ DRINKS, Fruit flavors are used in fish drinks.
THESE PILLS DO LESS GOOD THAN OTHERS, These pills do less good than others.
CANNED PEARS LACK FULL FLAVOR, Camp Pairs like full flavor
THE DARK POT HUNG IN THE FRONT CLOSET, The dark pot hung in the front closet.
CARRY THE PAIL TO THE WALL AND SPILL IT THERE, Carry the pale to the wall and spill it there.
THE TRAIN BROUGHT OUR HERO TO THE BIG TOWN, The train brought our hero to the big town.
WE ARE SURE THAT ONE WAR IS ENOUGH, We are sure that one war is enough.
GREAT PAINTS STRETCHED FOR MILES AROUND, Grapeaint stretched for miles around.
THE RUDE LAUGH FILLED THE EMPTY ROOM, The root laugh filled the empty room.
HIGH SEATS ARE BEST FOR FOOTBALL FANS, High seats are best for football fans.
TEA SERVED FROM THE BROWN JUG IS TASTY, Tea served from the brown chug is tasty.
A DASH OF PEPPER SPOILS BEEF STEW, A dash of pepper spoil speaks to.
A ZESTFUL FOOD IS THE HOT CROSS BUN, A zest for food is the hot cross bun.
THE HORSE TROTTED AROUND THE FIELD AT A BRISK PACE, The horse trotted around the field at a brisk pace.
FIND THE TWIN WHO STOLE THE PEARL NECKLACE, Find the twin who stole the pearl necklace
CUT THE CORD THAT BINDS THE BOX TIGHTLY, Cut the cord that binds the box tightly
THE RED TAPE BOUND THE SMUGGLED FOOD, The red tape bound was smuggled food.
LOOK IN THE CORNER TO FIND THE TAN SHIRT, Look in the corner to find the tan shirt
THE COLD DRIZZLE WILL HALT THE BOND DRIVE, The cold drizzle will halt the bond drive.
NINE MEN WERE HIRED TO DIG THE RUINS, 9 men were hired to dig the ruins.
THE JUNKYARD HAD A MOULDY SMELL, The junk yard had a moldy smell.
THE FLINT SPUTTERED AND LIT A PINE TORCH, The flint spotted in mud a pine torch.
SOAK THE CLOTH AND DROWN THE SHARP ODOUR, Soak the cloth and drown the sharp powder.
THE SHELVES WERE BARE OF BOTH JAM OR CRACKERS, The shelves were bare of both jam or crackers.
A JOY TO EVERY CHILD IS THE SWAN BOAT, A joy to every child is the swan boat.
ALL SAT FROZEN AND WATCHED THE SCREEN, All sat frozen and watched the screen.
A CLOUD OF DUST STUNG HIS TENDER EYES, A cloud of dust stung his tender eyes.
TO REACH THE END HE NEEDS MUCH COURAGE, To reach the end he needs much courage.
SHAPE THE CLAY GENTLY INTO BLOCK FORM, Shape the clay gently into block form.
A RIDGE ON A SMOOTH SURFACE IS A BUMP OR FLAW, A ridge on a smooth surface is the bump or flaw.
HEDGE APPLES MAY STAIN YOUR HANDS GREEN, Hedge apples may stain your hand screen.
QUENCH YOUR THIRST, Quench your thirst.
THEN EAT THE CRACKERS, Then eat the crackers.
TIGHT CURLS GET LIMP ON RAINY DAYS, Tight curls get limp on rainy days.
THE MUTE MUFFLED THE HIGH TONES OF THE HORN, The mute muffled the high tones of the horn.
THE GOLD RING FITS ONLY A PIERCED EAR, The gold ring fits only a pierced air.
THE OLD PAN WAS COVERED WITH HARD FUDGE, The old pan was covered with hard fudge.
WATCH THE LOG FLOAT IN THE WIDE RIVER, Watch the lug float in the wide river.
THE NOTE ON THIS STALK OF WHEAT GREW DAILY, The note on the stock of wheat grew daily.
THE HEAP OF FALLEN LEAVES WAS SET ON FIRE, The heap of fallen leaves was set on fire.
RITE FAST IF YOU WANT TO FINISH EARLY, Right fast if you want to finish early.
HIS SHIRT WAS CLEAN BUT ONE BUTTON WAS GONE, His shirt was clean but one button was gone.
THE BARREL OF BEER WAS A BREW OF MOULD AND HOBS, The barrel of beer was a brew of molten hops.
TIN CANS ARE ABSENT FROM STORE SHELVES, Tin cans are absent from store shelves.
SLIDE THE BOX INTO THAT EMPTY SPACE, Slide the box into that empty space
THE PLANT GREW LARGE AND GREEN IN THE WINDOW, The plant grew large and green in the window.
THE BEAM DROPPED DOWN ON THE WORKMAN'S HEAD, The beam dropped down on the workman's head.
PINK CLOUDS FLOATED WITH THE BREEZE, Pink clouds floated with the breeze.
SHE DANCED LIKE A SWAN, She danced like a swan.
TALL AND GRACEFUL, Tall and graceful
THE TUBE WAS BLOWN AND THE TIRE FLAT AND USELESS, The tube was blown in a tire flat and useless.
IT IS LATE MORNING ON THE OLD WALL CLOCK, It is late morning on the old wall clock.
LET'S ALL JOIN AS WE SING THE LAST CHORUS, Let's all join as we sing the last chorus.
THE LAST SWITCH CANNOT BE TURNED OFF, The last switch cannot be turned off.
THE FIGHT WILL END IN JUST SIX MINUTES, The fight will end in just 6 minutes.
THE STORE WALLS WERE LINED WITH COLORED FROCKS, The store walls were lined with colored frogs.
THE PEACE LEAGUE MET TO DISCUSS THEIR PLANS, The Peace League met to discuss their plans.
THE RISE TO FAME OF A PERSON TAKES LUCK, The rise to fame of a person takes luck.
PAPER IS SCARCE, Paper is scarce.
SO WRITE WITH MUCH CARE, So write with much care
THE QUICK FOX JUMPED ON THE SLEEPING CAT, The quick fox jumped on the sleeping cat.
THE NOZZLE OF THE FIREHOSE WAS BRIGHT BRASS, The nozzle of the fire hose was bright brass.
SCREW THE ROUND CAP ON AS TIGHT AS NEEDED, Screw the round cap on as tight as needed
TIME BRINGS US MANY CHANGES, Time brings us many changes.
THE PURPLE TIE WAS TEN YEARS OLD, The purple tie was 10 years old.
MEN THINK AND PLAN AND SOMETIMES ACT, Men think and plan and sometimes act.
FILL THE INK JAR WITH STICKY GLUE, Fill the ink jar with sticky glue.
HE SMOKE A BIG PIPE WITH STRONG CONTENTS, He smoke a big pipe with strong contents.
WE NEED GRAIN TO KEEP OUR MULES HEALTHY, We need grain to keep our mules healthy.
PACK THE RECORDS IN A NEAT THIN CASE, Pack the records in a neat thin case
THE CRUNCH FEET IN THE SNOW WAS THE ONLY SOUND, The crunch of feet in the snow was the only sound.
THE COPPER BOWL SHONE IN THE SUN'S RAYS, The copper bowl shown in the sun's rays.
BOARDS WILL WARP UNLESS KEPT DRY, Ports will warp unless kept dry.
THE PLUSH CHAIR LEANED AGAINST THE WALL, The plush chair leaned against the wall.
GLASS WILL CLINK WHEN STRUCK BY METAL, Glass will clink when struck by metal.
BATHE AND RELAX IN THE COOL GREEN GRASS, Faith and Relax in the Cool Green Grass
NINE ROWS OF SOLDIERS STOOD IN A LINE, 9 rows of soldiers stood in a line
THE BEACH IS DRY AND SHALLOW AT LOW TIDE, The beach is dry and shallow at low tide.
THE IDEA IS TO SOW BOTH EDGES STRAIGHT, The idea is to sew both edges straight.
THE KITTEN CHASED THE DOG DOWN THE STREET, The kitten chased the dog down the street.
PAGES BOUND IN CLOTH MAKE A BOOK, Page is bound in cloth make a book.
TRY TO TRACE THE FINE LINES OF THE PAINTING, Try to trace the fine lines of the painting.
WOMEN FORM LESS THAN HALF OF THE GROUP, Women form less than half of the group.
THE ZONES MERGE IN THE CENTRAL PART OF TOWN, The zones merge in the central part of town.
A GEM IN THE ROUGH NEEDS WORK TO POLISH, A gem in the rough needs work to polish.
CODE IS USED WHEN SECRETS ARE SENT, Code is used when secrets are sent.
MOST OF THE NEWS IS EASY FOR US TO HEAR, Most of the news is easy for us to hear.
HE USED THE LATHE TO MAKE BRASS OBJECTS, He used the lathe to make brass objects
THE VAIN ON TOP OF THE POLE REVOLVED IN THE WIND, The vein on top of the pole revolved in the wind.
MINCE PIE IS A DISH SERVE TO CHILDREN, mince pie is a dish served to children
THE CLAN GATHERED ON EACH DULL NIGHT, The clan gathered on each dough night.
LET IT BURN, Let it burn
IT GIVES US WARMTH AND COMFORT, It gives a warmth and comfort.
A CASTLE BUILT FROM SAND FAILS TO ENDURE, A castle built from Sam fails to endure.
A CHILD'S WIT SAVE THE DAY FOR US, A child would save the day for us.
TACK THE STRIP OF CARPET TO THE WORN FLOOR, Attack the strip of carpet to the worn floor.
NEXT TUESDAY WE MUST VOTE, Next Tuesday we must vote
POUR THE STEW FROM THE POT INTO THE PLATE, Pour the stew from the pot into the plate
EACH PENNY SHONE LIKE NEW, Each penny shown like new
THE MAN WENT TO THE WOODS TO GATHER STICKS, The man went to the woods to gather sticks.
THE DIRT PILES WERE LINES ALONG THE ROAD, The dirt piles were lines along the road.
THE LOGS FELL AND TUMBLED INTO THE CLEAR STREAM, The logs fell and tumbled into the clear stream.
JUST HOIST IT UP AND TAKE IT AWAY, Just hoist it up and take it away
A RIPE PLUM IS FIT FOR A KING'S PALATE, A right plum is fit for a king's pallet.
OUR PLANS RIGHT NOW ARE HAZY, Our plans right now are hazy.
BRASS RINGS ARE SOLD BY THESE NATIVES, Press rings are sold by these natives
IT TAKES A GOOD TRAP TO CAPTURE A BEAR, It takes a good track to capture a bear.
FEED THE WHITE MOUSE SOME FLOWER SEEDS, Feed the white mouse some flower seeds.
THE THAW CAME EARLY AND FREED THE STREAM, The thought came early and freed the stream.
HE TOOK THE LEAD AND KEPT IT THE WHOLE DISTANCE, He took the lead and kept it the whole distance.
THE KEY YOU DESIGNED WILL FIT THE LOOK, The key you design will fit the lock.
PLEAD TO THE COUNCIL TO FREE THE POOR THIEF, Plea to the council to free the poor thief.
BETTER HASH IS MADE OF RARE BEEF, Better hashes made of rare beef
THIS PLANK WAS MADE FOR WALKING ON, This plank was made for walking on.
THE LAKE SPARKLED IN THE RED HOT SUN, The lake sparkled in the red hot sun.
HE CRAWLED WITH CARE ALONG THE LEDGE, He crawled with care along the ledge.
TEND THE SHEEP WHILE THE DOG WANDERS, 10 the sheep while the dog wanders
IT TAKES A LOT OF HELP TO FINISH THESE, It takes a lot of help to finish these.
MARK THE SPOT WITH A SIGN PAINTED RED, Mark the spot with a sign painted red
TAKE TWO SHARES AS A FAIR PROFIT, Take 2 shares as a fair profit.
THE FUR OF CATS GOES BY MANY NAMES, The fur of cats goes by many names.
NORTH WINDS BRING COLDS AND FEVERS, North wind spring colds and fevers
HE ASKS NO PERSON TO VOUCH FOR HIM, He asks no person to vouch for him.
GO NOW AND COME HERE LATER, Go now and come here later
A SASH OF GOLD SILK WILL TRIM HER DRESS, A sash of gold silk will trim her dress.
SOAP CAN WASH MOST DIRT AWAY, Soap can wash most dirt away.
THAT MOVE MEANS THE GAME IS OVER, That move means the game is over.
HE WROTE DOWN A LONG LIST OF ITEMS, He wrote down a long list of items.
A SIEGE WILL CRACK THE STRONG DEFENCE, A siege will crack the strong defense.
GRAPE JUICE AND WATER MIX WELL, Grape juice and water mix well.
ROADS ARE PAVED WITH STICKE TAR, Roads are paved with sticky tower.
FAKE STONES SHINE BUT COST LITTLE, fake stones shine but cost little
THE DRIP OF THE RAIN MADE A PLEASANT SOUND, The drip of the ring made a pleasant sound.
SMOKE POURED OUT OF EVERY CRACK, Smoke poured out of every crack.
SERVE THE HOT RUM TO THE TIRED HEROES, Serve the hot rum to the tired heroes.
MUCH OF THIS STORY MAKES GOOD SENSE, Much of the story makes good sense.
THE SUN CAME UP TO LIGHT THE EASTERN SKY, The sun came up to light the eastern sky.
HEAVE THE LINE OVER THE PORT SIDE, Heat the line over the port side
A LATHE CUTS AND TRIMS ANY WOOD, I'll lay cuts and trims any wood.
IT'S A DENSE CROWD IN TWO DISTINCT WAYS, It's a dense crowd in two distinct ways.
HIS HIP STRUCK THE KNEE OF THE NEXT PLAYER, His hip struck the knee of the next player.
THE STALE SMELL OF OLD BEER LINGERS, The stale smell of old beer lingers.
THE DESK WAS FIRM ON THE SHAKY FLOOR, The desk was firm on the shaky floor.
IT TAKES HEAT TO BRING OUT THE ODOR, It takes heat to bring out the odor.
BEEF IS SCARCER THAN SOME LAMB, Beef is scarcer than some lamb.
RAISE THE SAIL AND STEER THE SHIP NORTHWARD, Raise the sail and steer the ship northward.
A CONE COSTS FIVE CENTS ON MONDAYS, A cone costs five cents on Mondays.
A POD IS WHAT PEAS ALWAYS GROW IN, A pot is what peas always grow in.
JERK THAT DART FROM THE CORK TARGET, Jerk that dart from the cork target
NO CEMENT WILL HOLD HARD WOOD, No cement will hold hardwood.
WE NOW HAVE A NEW BASE FOR SHIPPING, We now have a new base for shipping.
A LIST OF NAMES IS CARVED AROUND THE BASE, A list of names is carved around a base.
THE SHEEP WERE LED HOME BY A DOG, The sheep were led home by a dog.
THREE FOR A DIME, 3 for a time.
THE YOUNG PEDDLER CRIED, The Young Pedler cried.
THE SENSE OF SMELL IS BETTER THAN THAT OF TOUCH, The sense of smell is better than that of touch.
NO HARDSHIP SEEMED TO MAKE HIM SAD, No hardships seem to make him sad.
GRACE MAKES UP THE LACK OF BEAUTY, Grace makes up her lack of beauty
NODGE GENTLY BUT WAKE HER NOW, No it's gently but waker now.
THE NEWS STRUCK DOUBT INTO RESTLESS MINDS, The news struck out into restless minds.
ONCE WE STOOD BESIDE THE SHORE, Once we stood beside the shore.
A CHINK IN THE WALL ALLOWED A DRAFT TO BLOW, A chink in the wall allowed a draft to blow.
FASTEN TWO PINS ON EACH SIDE, Fasten 2 pins on each side.
A COLD DIP RESTORES HEALTH AND ZEST., A cold dip restores health and SEST.
HE TAKES THE OATH OF OFFICE EACH MARCH, He takes the oath of office each March.
THE SAND DRIFTS OVER THE SILL OF THE OLD HOUSE, The sand drifts over the sills of the old house.
THE POINT OF THE STEEL PEN WAS BENT AND TWISTED, The point of the steel pen was bent and twisted.
THERE IS A LAG BETWEEN THOUGHT AND ACT, There is a lag between thought and act.
SEED IS NEEDED TO PLANT THE SPRING CORN, Seed is needed to plant the spring corn.
DRAW THE CHART WITH HEAVY BLACK LINES, Draw the chart with heavy black lines.
THE BOY OWED HIS PAL THIRTY CENTS, The boy owed his pal 30 cents.
THE CHAP SLIPPED INTO THE CROWD AND WAS LOST, The chaps slipped into the crowd and was lost.
HATS ARE WORN TO TEA AND NOT TO DINNER, Hats are worn to tea and knocked to dinner.
THE RAMP LED UP TO THE WIDE HIGHWAY, The RAM played up to the wide highway.
BEAT THE DUST FROM THE RUG ONTO THE LAWN, Beep the dust from the rug onto a lawn
SAY IT SLOWLY BUT MAKE IT RING CLEAR, say it slowly but make it ring clear
THE STRAW NEST HOUSED FIVE ROBINS, The Strawn Estes has 5 Robbins.
SCREEN THE PORCH WITH WOVEN STRAW MATS, Scream the porch with woven straw mats.
THIS HORSE WILL NOSE HIS WAY TO THE FINISH, This horse will nose this way to the finish.
THE DRY WAX PROTECTS THE DEEP SCRATCH, The dry wax protects the deep scratch.
HE PICKED UP THE DICE FOR A SECOND ROLL, You picked up the dice for a second roll.
THESE COINS WILL BE NEEDED TO PAY HIS DEBT, These coins will be needed to pay his debt.
THE NAG PULLED THE FRAIL CART ALONG, The neck pulled the frill card along.
TWIST THE VALVE AND RELEASE HOT STEAM, Twist the valve and release hot steam
THE VAMP OF THE SHOE HAD A GOLD BUCKLE, The vamp of this shoe had a gold buckle.
THE SMELL OF BURNED RAGS ITCHES MY NOSE, The smell of burned rags itch as my nose.
NEW PANTS LACK CUFFS AND POCKETS, New pants lock cups and pockets
THE MARSH WILL FREEZE WHEN COLD ENOUGH, The marsh will freeze when cold enough.
THEY SLICE THE SAUSAGE THIN WITH A KNIFE, Face slice the sausage then with the knife
THE BLOOM OF THE ROSE LASTS A FEW DAYS, The bloom of the rose lasts a few days.
A GREY MARE WALKED BEFORE THE COLT, A gray mare walked before the cold.
BREAKFAST BUNS ARE FINE WITH A HOT DRINK, Breakfast buns are fine with a hot drink.
BOTTLES HOLD FOUR KINDS OF RUM, Bottles hold four kinds of rum.
THE MAN WORE A FEATHER IN HIS FELT HAT, The man wore a feather in his feltat.
HE WHEELED THE BIKE PAST THE WINDING ROAD, He wheeled the bike past the winding road.
DROP THE ASHES ON THE WORN OLD RUG, Drop the ashes on the worn old drug.
THE DESK AND BOTH CHAIRS WERE PAINTED TAN, The desk in both chairs were painted tan.
THROW OUT THE USED PAPER CUP AND PLATE, Throw out the used paper cup and plate
A CLEAN NECK MEANS A NEAT COLLAR, A clean neck means a neat collar.
THE COUCH COVER AND HALL DRAPES WERE BLUE, The couch cover in hall drapes were blue.
THE STEMS OF THE TALL GLASSES CRACKED AND BROKE, The stems of the tall glasses cracked and broke.
THE WALL PHONE RANG LOUD AND OFTEN, The wall phone rang loud and often.
THE CLOTHES DRIED ON A THIN WOODEN RACK, The clothes dried on a thin wooden rack.
TURN OUT THE LANTERN WHICH GIVES US LIGHT, Turn out the lantern which gives us light.
THE CLEAT SANK DEEPLY INTO THE SOFT TURF, The cleats sank deeply into the soft turf.
THE BILLS WERE MAILED PROMPTLY ON THE TENTH OF THE MONTH, The bills were mailed promptly on the 10th of the month.
TO HAVE IS BETTER THAN TO WAIT AND HOPE, To have is better than to wait and hope.
THE PRICE IS FAIR FOR A GOOD ANTIQUE CLOCK, The price is fair for a good antique clock.
THE MUSIC PLAYED ON WHILE THEY TALKED, The music played on while they talked.
DISPENSE WITH A VEST ON A DAY LIKE THIS, dispense with the vest on a day like this
THE BUNCH OF GRAPES WAS PRESSED INTO WINE, The bunch of grapes was pressed into wine.
HE SENT THE FIGS, He sent the things.
BUT KEPT THE RIPE CHERRIES, But kept the right cherries.
THE HINGE ON THE DOOR CREAKED WITH OLD AGE, The hinge on the door creaked with old age.
THE SCREEN BEFORE THE FIRE KEPT IN THE SPARKS, The screen before the fire kept in the sparks.
FLY BY NIGHT AND YOU WASTE LITTLE TIME, Fly by night and you waste a little time.
THICK GLASSES HELPED HIM READ THE PRINT, Thick classes help to read the print
BIRTH AND DEATH MARKS THE LIMITS OF LIFE, Birth and death marks the limits of life.
THE CHAIR LOOKED STRONG BUT HAD NO BOTTOM, The chair looked strong but had no bottom.
THE KITE FLEW WILDLY IN THE HIGH WIND, The kite flew waltling in the high wind.
A FUR MUFF IS STYLISH ONCE MORE, A firm of a stylish once more.
THE TIN BOXS HELD PRICELESS STONES, The team box held priceless stones.
WE NEED AN END OF ALL SUCH MATTER, We need an end of all such matter
THE CASE WAS PUZZLING TO THE OLD AND WISE, The case was puzzling to the old and wise.
THE BRIGHT LANTERNS WERE GAY ON THE DARK LAWN, The bright lanterns were gay on the dark lawn.
WE DON'T GET MUCH MONEY BUT WE HAVE FUN, We don't get much money but we have fun.
