transcription,transcription_wav2vec2
IT IS HARD TO ERASE BLUE OR RED INK,IT IS HARD TO RACE BLUE OR REDINK
WRITE AT ONCE OR YOU MAY FORGET IT,RIGHT AT ONCE OR YOU MAY FRUGET IT
THE DOOR KNOB WAS MADE OF BRIGHT CLEAN BRASS,THE DORNAGLE AS MADE OF BRIGHT CLEAN BRAS
THE WRECK OCCURRED BY THE BANK ON MAIN STREET,THE RECK OCURED BY THE BANK ON MAIN STRET
A PENCIL WITH BLACK LEAD WRITES BEST,A PINCIL WITH BLACK LED RITES BEST
COAX IS A YOUNG CALF TO DRINK FROM A BUCKET,COAX A YOUNG CALF TO DRINK FROM A BUCKET
SCHOOLS FOR LADIES TEACH CHARM AND GRACE,SCHOLS FOR LADIES TEACH CHARM AND GRACE
THE LAMP SHONE WITH A STEADY GREEN FLAME,THE LAMP SHONE WITH A STEADY GREN FLAME
THEY TOOK THE AXE AND THE SAW OF THE FOREST,THEY TOK THE AX ON THE SOT OF THE FOREST
THE ANCIENT COIN WAS QUITE DULL AND WORN,THE ANS IN COIN WAS QUITE DUL AND DORN
THE SHAKY BARN FELL WITH A LOUD CRASH,THE SAKY BARN FOE WITH A LOUD CRASH
JAZZ AND SWING FANS LIKE FAST MUSIC,JASIMS SWING FANS LIKE VAST MUSIC
RAKE THE RUBBISH UP AND THEN BURN IT,BREAK THE RUBERS UPEN AND BURN IT
SLASH THE GOLD CLOTH INTO FINE RIBBONS,SLASH THE GOLD CLOTH INTO FINE RIBONS
TRY TO HAVE THE COURT DECIDE THE CASE,TRY TO HAVE THE COURT DECIDE THE CASE
THEY ARE PUSHED BACK EACH TIME THEY ATTACK,THEYARE PUSH BACK EACH TIME THEY ATACK
HE BROKE HIS TIES WITH GROUPS OF FORMER FRIENDS,HE BROKE HIS TIES WITH GROUPS OF FORMER FRIENDS
THEY FLOATED ON THE RAFT TO SUN THEIR WHITE BACKS,THEY FLOATED ON THE RAFT TO SUN THEIR WHITE BACKS
THE MAP HAD AN X THAT MEANT NOTHING,THE MAV HAD AN EX THAT MEANT NOTHING
WHITINGS ARE SMALL FISH CAUGHT IN NETS,WHITINGS ARE SMAL FISH CARDAN NETS
SOME ADS SERVE TO CHEAT BUYERS,SOMEAD SERVED TO CHEAP BUYERS
JERK THE ROPE IN THE BELL RINGS WEAKLY,JERK THEIR OPEN THE BEL RINGS WEAKLY
A WAXED FLOOR MAKES US LOSE BALANCE,A WAXED FOR MAKES THUS LOSE BALANCE
MADAM,MADAM
THIS IS THE BEST BRAND OF CORN,THIS IS THE BEST BRAND OF CORN
ON THE ISLANDS THE SEA BREEZE IS SOFT AND MILD,ON THE ISLANDS THE SEA BREZES SOFT AND MILD
THE PLAY BEGAN AS SOON AS WE SAT DOWN,THE PLAY BEGAN AS SON AS WE SAT DOWN
THIS WILL LEAD THE WORLD TO MORE SOUND AND FURY,THIS WIL LEAVE THE WORLD TO MORE SOUND AND FURY
ADD SALT BEFORE YOU FRY THE EGG,AD SALT BEFORE YOU FRY THE EG
THE RUSH FOR FUNDS REACHED ITS PEAK TUESDAY,THE RUSH FOR FUNDS REACH TO SPEAK TUESDAY
THE BIRCH LOOKED STARK WHITE AND LONESOME,THE BIRDS LOKED STAR QUITE AND LONESOME
THE BOX IS HELD BY A BRIGHT RED SNAPPER,THE BOX IS HELD BY A BRIGHT RED SNAPER
TO MAKE PURE ICE,TO MAKE PUR ICE
YOU FREEZE WATER,YOU FREZE WATER
THE FIRST WORM GETS SNAPPED EARLY,THE FIRST WORM GETS SNAPED HURLY
JUMP THE FENCE AND HURRY UP THE BANK,JUMP THE FINS AND HURY UP THE BANK
YELL AN CLAP AS THE CURTAIN SLIDES BACK,YEL AND QUAP AS THE CURTAIN SLIDES BACK
THEY ARE MEN WHO WALK THE MIDDLE OF THE ROAD,THERE ARE MEN WHO WALK THE MIDLE OF THE ROAD
BOTH BROTHERS WERE THE SAME SIZE,BOTH BROTHERS WERE THE SAME SIZE
IN SOME FORM OR OTHER WE NEED FUN,IN SOME FAR MORE OTHER WE NED FIND
THE PRINCE ORDERED HIS HEAD CHOPPED OFF,THE PRINCE ORDERED HIS HEAD SHOPED OF
THE HOUSES ARE BUILT OF RED CLAY BRICKS,THE HOUSES ARE BUILT OF RUD CLAYBRICKS
DUCKS FLY NORTH BUT LACK A COMPASS,DUCKS FLYN ORTH BIT LAC A COMPAS
FRUIT FLAVORS ARE USED IN FIZZ DRINKS,FRUT PLAVERS ARE USED IN FIZ DRINKS
THESE PILLS DO LESS GOOD THAN OTHERS,THESE POLES DO LES GOD THAN OTHERS
CANNED PEARS LACK FULL FLAVOR,CANPAIRS LACK FUL FLAVOR
THE DARK POT HUNG IN THE FRONT CLOSET,THE DARK POT HUNG IN THE FRONT CLOSET
CARRY THE PAIL TO THE WALL AND SPILL IT THERE,CARY THE PAIL TO THE WAL AND SPIL THERE
THE TRAIN BROUGHT OUR HERO TO THE BIG TOWN,THE TRAIN BROUGHT OUR HERO TO THE BIG TOWN
WE ARE SURE THAT ONE WAR IS ENOUGH,WE ARE SURE THAT ONE MORE IS ENOUGH
GREAT PAINTS STRETCHED FOR MILES AROUND,GREAT PAINTS STRETCHED FOR MILES AROUND
THE RUDE LAUGH FILLED THE EMPTY ROOM,THE RUDE BLAUGH FILS THE EMPTY ROM
HIGH SEATS ARE BEST FOR FOOTBALL FANS,HIGH SEATS OUR BEST FOR FOTBAL FANS
TEA SERVED FROM THE BROWN JUG IS TASTY,T SERVED FROM THE BROWN JUGIS T C
A DASH OF PEPPER SPOILS BEEF STEW,TE DASH OF PEBER SPOILS BEF STEW
A ZESTFUL FOOD IS THE HOT CROSS BUN,A ZESTFUL FON IS ZE HOT CROS BUN
THE HORSE TROTTED AROUND THE FIELD AT A BRISK PACE,THE HORSE TROTDED ROUND THE FIELD AT A BRISK PACE
FIND THE TWIN WHO STOLE THE PEARL NECKLACE,FIND THE TWIN WHO STOLE THE PEARL NACLAS
CUT THE CORD THAT BINDS THE BOX TIGHTLY,CUT THE CORD THAT BINDS THE BOX TIGHLY
THE RED TAPE BOUND THE SMUGGLED FOOD,THE RADS HAP BOUND THE SMUGLED FOD
LOOK IN THE CORNER TO FIND THE TAN SHIRT,BOK IN THE CORNER TO FIND THE CHANCE SHIRT
THE COLD DRIZZLE WILL HALT THE BOND DRIVE,THE COLD DRIZLE WIL WHIRLT THE BOND DRIVE
NINE MEN WERE HIRED TO DIG THE RUINS,NINE MEN WERE HIRED TO DIG THE RUINS
THE JUNKYARD HAD A MOULDY SMELL,THE JUNK YARD HAD A MOLVY SMEL
THE FLINT SPUTTERED AND LIT A PINE TORCH,THE FLINTS SPUTER THAN LIT A PINE'S HORCH
SOAK THE CLOTH AND DROWN THE SHARP ODOUR,SOAK THE CLOTH AND DROWN THIS SHARP LODOUR
THE SHELVES WERE BARE OF BOTH JAM OR CRACKERS,THE SHELVES WERE BARE OF BOTH JAM ARE CRACKERS
A JOY TO EVERY CHILD IS THE SWAN BOAT,ADJOY TO EVERY CHILD IS A SWAN BOAT
ALL SAT FROZEN AND WATCHED THE SCREEN,AL SAT FROZEN AND WATCHEDTHE SCREN
A CLOUD OF DUST STUNG HIS TENDER EYES,A CLOUD OF DUST SUNG HIS TENDER EYES
TO REACH THE END HE NEEDS MUCH COURAGE,TO REACH THE END HE NEDS MUCH COURAGE
SHAPE THE CLAY GENTLY INTO BLOCK FORM,SHAPE THE CLAY GENTLY INTO BLOCK FORM
A RIDGE ON A SMOOTH SURFACE IS A BUMP OR FLAW,A RIDGE ON A SMOTH SURFACE IS A BUMP OR FLAW
HEDGE APPLES MAY STAIN YOUR HANDS GREEN,HODGEAPLES MAY STAIN YOUR HANDS GREN
QUENCH YOUR THIRST,QUENCH YOUR THIRST
THEN EAT THE CRACKERS,THEN E THE CRACKERS
TIGHT CURLS GET LIMP ON RAINY DAYS,TIDE CURLS GIT LIMP ON RAINY DAYS
THE MUTE MUFFLED THE HIGH TONES OF THE HORN,THE MUTE MUFLED THE HIGH TONES OF THE HORN
THE GOLD RING FITS ONLY A PIERCED EAR,THE GOLDRING FITS ONLY APEARS HERE
THE OLD PAN WAS COVERED WITH HARD FUDGE,THE OLD PAN WAS COVERED WITH HARD FUGE
WATCH THE LOG FLOAT IN THE WIDE RIVER,WATCH THE LOG FLOAT IN THE WIDE RIVER
THE NOTE ON THIS STALK OF WHEAT GREW DAILY,THE NOTE ON THE STALK OF WHEAT GREW DAILY
THE HEAP OF FALLEN LEAVES WAS SET ON FIRE,THE HEAP OF FALEN LEAVES WAS SET ON FIRE
RITE FAST IF YOU WANT TO FINISH EARLY,RIGHT FAST IF YOU WANT TO FINISH EARLY
HIS SHIRT WAS CLEAN BUT ONE BUTTON WAS GONE,HIS SHIRT WAS CLEAN BUT ONE BUTON WAS GONE
THE BARREL OF BEER WAS A BREW OF MOULD AND HOBS,THE BAREL OF BER WAS A BREW OF MALTEN HOPS
TIN CANS ARE ABSENT FROM STORE SHELVES,TIN CANS AR ABSEND FROM STORE SHELVES
SLIDE THE BOX INTO THAT EMPTY SPACE,SLIDE THE BOX INTO THAT EMPTY SPACE
THE PLANT GREW LARGE AND GREEN IN THE WINDOW,THE PLANT GREW LARGE AND GREN IN THE WINDOW
THE BEAM DROPPED DOWN ON THE WORKMAN'S HEAD,THE BEAM DROPED DOWN ON THE WORKMAN'S HEAD
PINK CLOUDS FLOATED WITH THE BREEZE,PINK CLOUDS FLOATED WITH THE BREZE
SHE DANCED LIKE A SWAN,SHE DANCED LIKE A SWARN
TALL AND GRACEFUL,TAL AND GRACEFUL
THE TUBE WAS BLOWN AND THE TIRE FLAT AND USELESS,THE TUBE WAS BLOWN ON THE TIRE FLAT AND USELES
IT IS LATE MORNING ON THE OLD WALL CLOCK,IT IS LATE MORNING ON THE OLD WAL CLOCK
LET'S ALL JOIN AS WE SING THE LAST CHORUS,LET'S AL JOIN AS WE SEM A LAST CHORUS
THE LAST SWITCH CANNOT BE TURNED OFF,THE LAST SWITCH CANOT BE TURNED OF
THE FIGHT WILL END IN JUST SIX MINUTES,THE FITAL END IN JUST SIX MINUTES
THE STORE WALLS WERE LINED WITH COLORED FROCKS,THE STORE WALS WERE ALINED WITH COLORED FROCKS
THE PEACE LEAGUE MET TO DISCUSS THEIR PLANS,THE PEACE LEAVE MENT TO DISCUS THEIR PLANS
THE RISE TO FAME OF A PERSON TAKES LUCK,THE RISE TO FAME OF A PERSON TAKES LUCK
PAPER IS SCARCE,PEBREWIS SCERCE
SO WRITE WITH MUCH CARE,SO RIGHT WITH MUCH CARE
THE QUICK FOX JUMPED ON THE SLEEPING CAT,THE QUICK FOX JUMPED ON THE SLEPING CAT
THE NOZZLE OF THE FIREHOSE WAS BRIGHT BRASS,THE NOZLE OF THE FIREROSE WAS BRIGHT BRAS
SCREW THE ROUND CAP ON AS TIGHT AS NEEDED,SCROW THE ROUND CAP ON AS TIGHT IS NEDED
TIME BRINGS US MANY CHANGES,TIME BRINGS US MANY CHANGES
THE PURPLE TIE WAS TEN YEARS OLD,A PURPLE TIE WAS TEN YEARS OLD
MEN THINK AND PLAN AND SOMETIMES ACT,MENTHINKING PLAN IS SOMETIMES ACT
FILL THE INK JAR WITH STICKY GLUE,FEL THE YANK JAO A STICKY GLUW
HE SMOKE A BIG PIPE WITH STRONG CONTENTS,HE SMOKE A BIG PIPE WITH STRONG CONTENTS
WE NEED GRAIN TO KEEP OUR MULES HEALTHY,WE NED GRIN TO KUP OUR MULES HEALTHY
PACK THE RECORDS IN A NEAT THIN CASE,PRACK THE RECORDS IN A NEAT THIN CASE
THE CRUNCH FEET IN THE SNOW WAS THE ONLY SOUND,THE CRUNCHED OF FET IN HIS SNOW WAS THE ONLY SOUND
THE COPPER BOWL SHONE IN THE SUN'S RAYS,E COPER BUL SHONE IN THE SUN'S RAYS
BOARDS WILL WARP UNLESS KEPT DRY,BOARS WIL WARP AND LES COUT DRY
THE PLUSH CHAIR LEANED AGAINST THE WALL,THE PLUSH CHARE LEANED AGAINST THE WAL
GLASS WILL CLINK WHEN STRUCK BY METAL,GLAS WIL CLINKUEN STRUCK BY METAL
BATHE AND RELAX IN THE COOL GREEN GRASS,BAT AN RELAX IN THE COL GREN GRAS
NINE ROWS OF SOLDIERS STOOD IN A LINE,NINE ROWS OF SOLDIERS STOD IN A LINE
THE BEACH IS DRY AND SHALLOW AT LOW TIDE,THE BECH IS DRY AND SHALOW AT LOW TIDE
THE IDEA IS TO SOW BOTH EDGES STRAIGHT,THE IDEAS TO SO BOTH THADGES STRAIGHT
THE KITTEN CHASED THE DOG DOWN THE STREET,THE KITAN CHIESE THE DOG DOWN THE STRET
PAGES BOUND IN CLOTH MAKE A BOOK,PAGES BOUND IN CLOTH MAKE A BOK
TRY TO TRACE THE FINE LINES OF THE PAINTING,TRY TO TRACE THE FINE LINES OF THE PAINTING
WOMEN FORM LESS THAN HALF OF THE GROUP,WOMAN FORM LES THAN HALF OF THE GROUP
THE ZONES MERGE IN THE CENTRAL PART OF TOWN,THE ZONES MERSE IN THE CENTRAL PART OF TOWN
A GEM IN THE ROUGH NEEDS WORK TO POLISH,A JYM IN THE ROUGH NEDS WORK TO BOLISH
CODE IS USED WHEN SECRETS ARE SENT,COLD AS USED WHENE SECRETS ARE SENT
MOST OF THE NEWS IS EASY FOR US TO HEAR,MOST OF THE NEWS IS EASY FOR US TO HEAR
HE USED THE LATHE TO MAKE BRASS OBJECTS,HE USED THE LATHE TO MAKE BRAS OBJECTS
THE VAIN ON TOP OF THE POLE REVOLVED IN THE WIND,THE VAIN ON TOP OF THE POLE REVOLVED IN THE WIND
MINCE PIE IS A DISH SERVE TO CHILDREN,MENCED BY HIS ADISH SERVED TO CHILDREN
THE CLAN GATHERED ON EACH DULL NIGHT,THE CLAN GATHERED ON EACH DUL NIGHT
LET IT BURN,LET IT BURN
IT GIVES US WARMTH AND COMFORT,IT GIVES US WARMTH AND COMFORT
A CASTLE BUILT FROM SAND FAILS TO ENDURE,A CASTLE BUILT FROM SAND FAILS TO ENDURE
A CHILD'S WIT SAVE THE DAY FOR US,THE CHILD'S WIL SAVE THE DAY FOR US
TACK THE STRIP OF CARPET TO THE WORN FLOOR,TAF A STRIP OF CARPET TO THE WORN FLOR
NEXT TUESDAY WE MUST VOTE,NEXT TUESDAY WE MUST RO
POUR THE STEW FROM THE POT INTO THE PLATE,POUR THIS SOUP FROM THE PART INTO THE PLATE
EACH PENNY SHONE LIKE NEW,IT'S PENY SHOWN LIKE NEW
THE MAN WENT TO THE WOODS TO GATHER STICKS,THE MAN WENT TO THE WODS TO GATHER SIX
THE DIRT PILES WERE LINES ALONG THE ROAD,THE DIRT PILES RORLINES ALONG THE ROAD
THE LOGS FELL AND TUMBLED INTO THE CLEAR STREAM,THE LOGS FEL AND TUMBLED INTO THE QLEAR STREAM
JUST HOIST IT UP AND TAKE IT AWAY,JEST HOIST IT UP AN TAKE IT AWAY
A RIPE PLUM IS FIT FOR A KING'S PALATE,A RIPE POEM IS FIT FOR KING'S PALATE
OUR PLANS RIGHT NOW ARE HAZY,OUR PLANS RIGHT NOW ARE HAZY
BRASS RINGS ARE SOLD BY THESE NATIVES,BRAS RINGS ARE SOLD BY THESE NATIVES
IT TAKES A GOOD TRAP TO CAPTURE A BEAR,IT TAKES A GOD TRAP TO CAPTURE O BEARE
FEED THE WHITE MOUSE SOME FLOWER SEEDS,FED THE WHITE MOUSE AND FLOWER SEDS
THE THAW CAME EARLY AND FREED THE STREAM,THE THOUGHT CAME EARLY AND FRE THIS STREAM
HE TOOK THE LEAD AND KEPT IT THE WHOLE DISTANCE,HE TOK THE LEAVE AND CARUPTED THE WHOLE DISTANCE
THE KEY YOU DESIGNED WILL FIT THE LOOK,THE KEY YOU DESIGND WIL FIT THE LOCK
PLEAD TO THE COUNCIL TO FREE THE POOR THIEF,PLEAD TO THE COUNSEL TO FRE THE POR THIEF
BETTER HASH IS MADE OF RARE BEEF,BETER HASH IS MADE OF RARE BEF
THIS PLANK WAS MADE FOR WALKING ON,THIS PLANK WAS MADE FOR WALKING ON
THE LAKE SPARKLED IN THE RED HOT SUN,BELAKE SPARKLED IN THE RED HOT SUN
HE CRAWLED WITH CARE ALONG THE LEDGE,HE CRAWLED WITH CARE ALONG THE LEDGE
TEND THE SHEEP WHILE THE DOG WANDERS,TIM THE SHEP WHILE THE DOG WONDERS
IT TAKES A LOT OF HELP TO FINISH THESE,IT TAKES THE LOT OF HELP TO FINISH THESE
MARK THE SPOT WITH A SIGN PAINTED RED,MARK THE SPOT WHAT THIS SIGHIN PAINTY READ
TAKE TWO SHARES AS A FAIR PROFIT,TAKE TWO SHARES AS A FAIR PROFIT
THE FUR OF CATS GOES BY MANY NAMES,THE FUR OF CATS GOES BY MANY NAMES
NORTH WINDS BRING COLDS AND FEVERS,NORTH ONES BRING COLDS AND FEVERS
HE ASKS NO PERSON TO VOUCH FOR HIM,HE ASKS NO PERSON TO VOUIT FOR HIM
GO NOW AND COME HERE LATER,GO NOW AND COME HERE LATER
A SASH OF GOLD SILK WILL TRIM HER DRESS,A SASH OF GOLD SILK WIL TROM HER DRES
SOAP CAN WASH MOST DIRT AWAY,SOAP CAN WASHMO TIRED AWAY
THAT MOVE MEANS THE GAME IS OVER,THAT MOVE ME AS THE GAME IS OVER
HE WROTE DOWN A LONG LIST OF ITEMS,HE RODE DOWN A LONG LIST OF VIDUMS
A SIEGE WILL CRACK THE STRONG DEFENCE,A SEAS WIL CRACK THIS STRONG DEFENCE
GRAPE JUICE AND WATER MIX WELL,GREAT JUICE AND WATER MIX WEL
ROADS ARE PAVED WITH STICKE TAR,ROADS ARE BEHAVED TO A SICKY TAR
FAKE STONES SHINE BUT COST LITTLE,FAKE SONSHINE BUT COS LITLE
THE DRIP OF THE RAIN MADE A PLEASANT SOUND,THE DRIP OF THE RIN MADE A PLEASANT SOUND
SMOKE POURED OUT OF EVERY CRACK,SMOKE POURED OUT OF EVERY CRACK
SERVE THE HOT RUM TO THE TIRED HEROES,SERVE THE HOT RUM O THE TIRED HEROES
MUCH OF THIS STORY MAKES GOOD SENSE,MUCH OF THIS STORY MAKES GOD SENSE
THE SUN CAME UP TO LIGHT THE EASTERN SKY,THE SUN CAME UP TO LIGHT THE EASTERN SKY
HEAVE THE LINE OVER THE PORT SIDE,HEAVE THE LINE OVER THE PORT SIDE
A LATHE CUTS AND TRIMS ANY WOOD,A LAVE CUTS IN TRIMS ANY WOD
IT'S A DENSE CROWD IN TWO DISTINCT WAYS,IT'S A DENSE CROWD IN TWO DISTINCT WAYS
HIS HIP STRUCK THE KNEE OF THE NEXT PLAYER,HIS HIP STRUCK THE KNE OF THE NEXT PLAYER
THE STALE SMELL OF OLD BEER LINGERS,THE SALE SMEL OF OLD BER LINGERS
THE DESK WAS FIRM ON THE SHAKY FLOOR,THE DUSK WAS FIRM ON THE SHAKY FLOR
IT TAKES HEAT TO BRING OUT THE ODOR,IT TAKES SED TO BRING OUT THE ORDER
BEEF IS SCARCER THAN SOME LAMB,BEF IS SCARCER THAN SOME LAMB
RAISE THE SAIL AND STEER THE SHIP NORTHWARD,BRIE E SAILON STER THE SHIP NORTHWARD
A CONE COSTS FIVE CENTS ON MONDAYS,A CONE CAR FIVE CENCE ON MONDAYS
A POD IS WHAT PEAS ALWAYS GROW IN,APART IS WHAT PEAS ALWAYS GROW IN
JERK THAT DART FROM THE CORK TARGET,JERK THAT DARED FROM THE CORT TARIET
NO CEMENT WILL HOLD HARD WOOD,NO SEMENT WIL HOLD THE HARD WOD
WE NOW HAVE A NEW BASE FOR SHIPPING,WE NOW HAVE A NEW BASE FOR SHIPING
A LIST OF NAMES IS CARVED AROUND THE BASE,A LIST OF NAMES IS CARVED AROUND THE BASE
THE SHEEP WERE LED HOME BY A DOG,THE SHEPER LED HOME BY A DOG
THREE FOR A DIME,THRE FOR DIE
THE YOUNG PEDDLER CRIED,THE YOUNG PADLER CRIED
THE SENSE OF SMELL IS BETTER THAN THAT OF TOUCH,THE SENSE OF SMEL IS BETER THAN THAT OF TOUCH
NO HARDSHIP SEEMED TO MAKE HIM SAD,NO HARDSHIP SEM TO MAKE EM SAD
GRACE MAKES UP THE LACK OF BEAUTY,GRACE MAKES UP FOR LACK OF BEAUTY
NODGE GENTLY BUT WAKE HER NOW,NUDS GENTLY BUT WAKEHER NOW
THE NEWS STRUCK DOUBT INTO RESTLESS MINDS,THE NEWS STRUCKE DOUT INTO RESTLES MINES
ONCE WE STOOD BESIDE THE SHORE,ONCE WE STOD BESIDE THES SHORE
A CHINK IN THE WALL ALLOWED A DRAFT TO BLOW,AT SHINK IN THE WAL LOUD A DRAUGHT TO BLOW
FASTEN TWO PINS ON EACH SIDE,FASTEN TWO PENS ON EACH SIDE
A COLD DIP RESTORES HEALTH AND ZEST.,A COL DIPER STORIES HEALTH IN ZEST
HE TAKES THE OATH OF OFFICE EACH MARCH,HE TAKES THE OATH OF OFICE EACH MARCH
THE SAND DRIFTS OVER THE SILL OF THE OLD HOUSE,THE SAND DRIFTS OVER THE SILS OF THE OLD HOUSE
THE POINT OF THE STEEL PEN WAS BENT AND TWISTED,THE POINT ON LOSE STELE PEN WAS BENT AND TWISTED
THERE IS A LAG BETWEEN THOUGHT AND ACT,THERE IS A LAG BETWEN THOUGHT AND ACT
SEED IS NEEDED TO PLANT THE SPRING CORN,SEAT IS NEDED TO PLANT THIS SPRING COURT
DRAW THE CHART WITH HEAVY BLACK LINES,DRAW THE CHARED WITH HEAVY BLACK LINES
THE BOY OWED HIS PAL THIRTY CENTS,THE BOYON HAS PAL THIRTY SENTS
THE CHAP SLIPPED INTO THE CROWD AND WAS LOST,AT SHAP SLIPED INTO THE CROWD AND WAS LOST
HATS ARE WORN TO TEA AND NOT TO DINNER,HATS AR WARN TO TAN NOT TO DINER
THE RAMP LED UP TO THE WIDE HIGHWAY,THE RAM BLOD UP TO THE WARDE HIGHWAY
BEAT THE DUST FROM THE RUG ONTO THE LAWN,BEADS THE DUST FROM THE RUG ON TO THE LAWN
SAY IT SLOWLY BUT MAKE IT RING CLEAR,SAY IT'S SLOWLY BUT MAKE IT RIN CLEAR
THE STRAW NEST HOUSED FIVE ROBINS,THE STRAWNUS HOUSED FIVE ROBINS
SCREEN THE PORCH WITH WOVEN STRAW MATS,SCREAM THE PORCH WITH WOVEN STRAW MOUTS
THIS HORSE WILL NOSE HIS WAY TO THE FINISH,THIS HORSE WIL KNOWS HIS WAY TO THE FINISH
THE DRY WAX PROTECTS THE DEEP SCRATCH,THE DRY WAX POTECTS THA DEP SCRATCH
HE PICKED UP THE DICE FOR A SECOND ROLL,HE PICKED UP THE DRICE FOR A SECOND ROL
THESE COINS WILL BE NEEDED TO PAY HIS DEBT,THESE COINS WIL BE NEDED TO PAY HIS DEBT
THE NAG PULLED THE FRAIL CART ALONG,THEN NAG PULED THE FRAIL CART AN LONG
TWIST THE VALVE AND RELEASE HOT STEAM,TWIST THE VALVE AN RELEASE HOT STEAM
THE VAMP OF THE SHOE HAD A GOLD BUCKLE,THE VAMP OF THE SHEU HAD A GOLD BUCKLE
THE SMELL OF BURNED RAGS ITCHES MY NOSE,THE SMEL OF BURNED RAGS ITCHES MY NOSE
NEW PANTS LACK CUFFS AND POCKETS,NEWPAN SLACK CUFS AND POCKETS
THE MARSH WILL FREEZE WHEN COLD ENOUGH,THE MARSH WIL FREZE WHEN COLD ENOUGH
THEY SLICE THE SAUSAGE THIN WITH A KNIFE,THE SLICE SAUSAGE THEN WITH A KNIFE
THE BLOOM OF THE ROSE LASTS A FEW DAYS,THE BLOM OF THE ROSE LASTS A FEW DAYS
A GREY MARE WALKED BEFORE THE COLT,THE GREYMAR WALKED BEFORE THE COLD
BREAKFAST BUNS ARE FINE WITH A HOT DRINK,BREAKFAST SPONS ARE FINE WITH A HOT DRINK
BOTTLES HOLD FOUR KINDS OF RUM,BOTLES HOLD FOUR KINDS OF REALM
THE MAN WORE A FEATHER IN HIS FELT HAT,THE MAN MORE FEATHER AND HIS FELT HAT
HE WHEELED THE BIKE PAST THE WINDING ROAD,HE WHELED THE BAKE PAST THE WHINING ROAD
DROP THE ASHES ON THE WORN OLD RUG,DROB THE ASHES ON THE WORNULDROG
THE DESK AND BOTH CHAIRS WERE PAINTED TAN,THE DUSK IN BOTH CHERS WERE PAINTED DAN
THROW OUT THE USED PAPER CUP AND PLATE,THROW OUT THE USEPAPER CUB AND PLAYED
A CLEAN NECK MEANS A NEAT COLLAR,A CLEA NECK MEANS A NEAT COLAR
THE COUCH COVER AND HALL DRAPES WERE BLUE,THE COUCH COVER IN HAL DRABES ERBLUE
THE STEMS OF THE TALL GLASSES CRACKED AND BROKE,THE STEMS OF THE TAL GLASES CRACKED AND BROKE
THE WALL PHONE RANG LOUD AND OFTEN,THE WALPHONE RANG LOUD AND OFTEN
THE CLOTHES DRIED ON A THIN WOODEN RACK,THE CLOTHES DRIED ON THE THIN WODEN RACK
TURN OUT THE LANTERN WHICH GIVES US LIGHT,TURN OUT THE LANTERN WHICH GIVES US LIGHT
THE CLEAT SANK DEEPLY INTO THE SOFT TURF,BE CLET SINK DEPLY INTO THE SOFT TURF
THE BILLS WERE MAILED PROMPTLY ON THE TENTH OF THE MONTH,THE BILS WERE MAILS PROMPTLY ON THE TENTH OF THE MONTH
TO HAVE IS BETTER THAN TO WAIT AND HOPE,TO HAVE IS BETER THAN TO WAIT IN HOPE
THE PRICE IS FAIR FOR A GOOD ANTIQUE CLOCK,THE PRICE IS FARE FOR A GOD AND TE CLOCK
THE MUSIC PLAYED ON WHILE THEY TALKED,THE MUSIC PLAYED ON WHILE THEY TALKED
DISPENSE WITH A VEST ON A DAY LIKE THIS,DISPENSE WITH THE VASON A DAY LIKE THIS
THE BUNCH OF GRAPES WAS PRESSED INTO WINE,THE BUNCH OF GRAPES WAS PRUSED INTO WINE
HE SENT THE FIGS,HE SENT THE FAGS
BUT KEPT THE RIPE CHERRIES,BUT KEPT THE RIBE CHERIES
THE HINGE ON THE DOOR CREAKED WITH OLD AGE,TEHEM JOHN MEDOR CREKED WITH OLD ADES
THE SCREEN BEFORE THE FIRE KEPT IN THE SPARKS,THE SCREN BEFORE THE FIRE KEPT IN THE SPARKS
FLY BY NIGHT AND YOU WASTE LITTLE TIME,FLED BY NIGHT IN YOU WASTE LITLE TIME
THICK GLASSES HELPED HIM READ THE PRINT,THE GLASES HELPED HIM READ THE PARANT
BIRTH AND DEATH MARKS THE LIMITS OF LIFE,BIRTH AND DEATH MARKS THE LOMENTS OF LIFE
THE CHAIR LOOKED STRONG BUT HAD NO BOTTOM,THE TEAR LOKED STRONG BUT HAD NO BOTOM
THE KITE FLEW WILDLY IN THE HIGH WIND,THE KITE FLEW WILDLY IN THE HIGH WIND
A FUR MUFF IS STYLISH ONCE MORE,AFIRM OFIN STYLISH ONCE MORE
THE TIN BOXS HELD PRICELESS STONES,THE CHIN BOX HELD PRICELES STONES
WE NEED AN END OF ALL SUCH MATTER,WE NED AN END OF AL SUCH MATER
THE CASE WAS PUZZLING TO THE OLD AND WISE,THE CASE WAS PUZLING TO THE OLDEN WISE
THE BRIGHT LANTERNS WERE GAY ON THE DARK LAWN,THE BRIGHT LANTERNS BROCAS ON THE DARK LAT
WE DON'T GET MUCH MONEY BUT WE HAVE FUN,WE DON'T GIT MUCH MONEY BUT WE ARE FINE
THE YOUTH DROVE WITH ZEST,THE YOUTH DROVEL ZEST
BUT LITTLE SKILL,BUT LET UL SKIL
FIVE YEARS HE LIVED WITH A SHAGGY DOG,FIVE YEARS HE LIVED WITH A SHAGY DOG
A FENCE CUT THROUGH THE CORNER LOT,OFENCE CUTS THROUGH THE CORNER LOT
