transcription,transcription_whisper_base
THEY ARE MEN WHO WALK THE MIDDLE OF THE ROAD, Dear men who walk the middle of the road.
BOTH BROTHERS WERE THE SAME SIZE, Both brothers were the same size.
IN SOME FORM OR OTHER WE NEED FUN, In some form or other we need fun.
THE PRINCE ORDERED HIS HEAD CHOPPED OFF, The Prince ordered his head chopped off.
THE HOUSES ARE BUILT OF RED CLAY BRICKS, The houses are built of red clay bricks.
DUCKS FLY NORTH BUT LACK A COMPASS, Ducks flying north but like a compass.
FRUIT FLAVORS ARE USED IN FIZZ DRINKS, Fruit flavors are used in fish drugs.
THESE PILLS DO LESS GOOD THAN OTHERS, These pills do last good than others.
CANNED PEARS LACK FULL FLAVOR, Compare's like full flavor.
THE DARK POT HUNG IN THE FRONT CLOSET, The dark pot hung in the front closet.
CARRY THE PAIL TO THE WALL AND SPILL IT THERE, Carry the pale to the wall and spill it there.
THE TRAIN BROUGHT OUR HERO TO THE BIG TOWN, The train brought our hero to the big town.
WE ARE SURE THAT ONE WAR IS ENOUGH, We are sure that one war is enough.
GREAT PAINTS STRETCHED FOR MILES AROUND, Great paint stretched for miles around.
THE RUDE LAUGH FILLED THE EMPTY ROOM, The real life filled the empty room.
HIGH SEATS ARE BEST FOR FOOTBALL FANS, High seats are best for football fans.
TEA SERVED FROM THE BROWN JUG IS TASTY, Teaser from the brown jug is tasty.
A DASH OF PEPPER SPOILS BEEF STEW, A dash of pepper spoils beef stew.
A ZESTFUL FOOD IS THE HOT CROSS BUN, Exist for food is the hot cross-bend.
THE HORSE TROTTED AROUND THE FIELD AT A BRISK PACE, The horse tried to round the field at a brisk pace.
FIND THE TWIN WHO STOLE THE PEARL NECKLACE, Find between his stilter pearl necklace.
CUT THE CORD THAT BINDS THE BOX TIGHTLY, Cut the cord that binds the box tightly.
THE RED TAPE BOUND THE SMUGGLED FOOD, The red tape on the smuggled food.
LOOK IN THE CORNER TO FIND THE TAN SHIRT, look in the corner to find the 10 shirt
THE COLD DRIZZLE WILL HALT THE BOND DRIVE, The cold drizzle will halt the bar drive.
NINE MEN WERE HIRED TO DIG THE RUINS, Nine men were hired to dig the ruins.
THE JUNKYARD HAD A MOULDY SMELL, The junkyard had a moldy smell.
THE FLINT SPUTTERED AND LIT A PINE TORCH, The Flint spotted a litter pine torch.
SOAK THE CLOTH AND DROWN THE SHARP ODOUR, Soak the cloth and drown the sharp odor.
THE SHELVES WERE BARE OF BOTH JAM OR CRACKERS, The shelves would be of both damn war crackers.
A JOY TO EVERY CHILD IS THE SWAN BOAT, A joy to every child is the swan bird.
ALL SAT FROZEN AND WATCHED THE SCREEN, All sat frozen and watched the screen.
A CLOUD OF DUST STUNG HIS TENDER EYES, A cloud of dust stung his tender rise.
TO REACH THE END HE NEEDS MUCH COURAGE, To reach the end he needs much courage.
SHAPE THE CLAY GENTLY INTO BLOCK FORM, Shake the clay gently into block form.
A RIDGE ON A SMOOTH SURFACE IS A BUMP OR FLAW, A ridge on a smooth surface is a bumper flaw.
HEDGE APPLES MAY STAIN YOUR HANDS GREEN, Headjapples may stain your hands green.
QUENCH YOUR THIRST, Quarchew Thirst
THEN EAT THE CRACKERS, Then eat the crackers.
TIGHT CURLS GET LIMP ON RAINY DAYS, Type Girls Get Limpa on rainy days
THE MUTE MUFFLED THE HIGH TONES OF THE HORN, The need muffled the high tones of the horn.
THE GOLD RING FITS ONLY A PIERCED EAR, The gold ring fits only appears here.
THE OLD PAN WAS COVERED WITH HARD FUDGE, The old pan was covered with hard fudge.
WATCH THE LOG FLOAT IN THE WIDE RIVER, Watch the long flight in the wide river.
THE NOTE ON THIS STALK OF WHEAT GREW DAILY, The note on the stock of Wheat Crew Daily
THE HEAP OF FALLEN LEAVES WAS SET ON FIRE, The heap of fallen leaves were sent fire.
RITE FAST IF YOU WANT TO FINISH EARLY, Right fast if you want to finish early.
HIS SHIRT WAS CLEAN BUT ONE BUTTON WAS GONE, His shirt was clean but one button was gone.
THE BARREL OF BEER WAS A BREW OF MOULD AND HOBS, The barrel of beer was approved by Moltenhups.
TIN CANS ARE ABSENT FROM STORE SHELVES, Ten cans are absent from store shelves.
SLIDE THE BOX INTO THAT EMPTY SPACE, Slide the box into the empty space.
THE PLANT GREW LARGE AND GREEN IN THE WINDOW, The plant grew large and green in the window.
THE BEAM DROPPED DOWN ON THE WORKMAN'S HEAD, The beam dropped down on the workman's head.
PINK CLOUDS FLOATED WITH THE BREEZE, Pink clouds flooded with the breeze.
SHE DANCED LIKE A SWAN, She danced like a swan.
TALL AND GRACEFUL, Tall and graceful.
THE TUBE WAS BLOWN AND THE TIRE FLAT AND USELESS, The tube was blown in a tire flat and useless.
IT IS LATE MORNING ON THE OLD WALL CLOCK, It is late morning on the old walk clock.
LET'S ALL JOIN AS WE SING THE LAST CHORUS, Let's all join as we sing the last chorus.
THE LAST SWITCH CANNOT BE TURNED OFF, The last switch cannot be turned off.
THE FIGHT WILL END IN JUST SIX MINUTES, The fight went in just 6 minutes.
THE STORE WALLS WERE LINED WITH COLORED FROCKS, The stair walls were lined with colored frogs.
THE PEACE LEAGUE MET TO DISCUSS THEIR PLANS, The peace league ready to discuss their plans.
THE RISE TO FAME OF A PERSON TAKES LUCK, The rise to fame of a person takes luck.
PAPER IS SCARCE, Paper Scissors
SO WRITE WITH MUCH CARE, So write with much care.
THE QUICK FOX JUMPED ON THE SLEEPING CAT, The Quick Fox jumped on a sleeping cat.
THE NOZZLE OF THE FIREHOSE WAS BRIGHT BRASS, Denousal of the fire hose was break brass.
SCREW THE ROUND CAP ON AS TIGHT AS NEEDED, Screw the round cap on as tight as needed.
TIME BRINGS US MANY CHANGES, Time brings us many changes.
THE PURPLE TIE WAS TEN YEARS OLD, The purple tyros 10 years old.
MEN THINK AND PLAN AND SOMETIMES ACT, Men think and plan and sometimes act.
FILL THE INK JAR WITH STICKY GLUE, Fill the ink jar with sticky glue.
HE SMOKE A BIG PIPE WITH STRONG CONTENTS, He smoke a big pipe with strong contents.
WE NEED GRAIN TO KEEP OUR MULES HEALTHY, We need Grant to keep her meals healthy.
PACK THE RECORDS IN A NEAT THIN CASE, Pack the records in a neat thin case.
THE CRUNCH FEET IN THE SNOW WAS THE ONLY SOUND, The crunch of feed in the snow was the only sound.
THE COPPER BOWL SHONE IN THE SUN'S RAYS, The copper bowl shone in the sun's rays.
BOARDS WILL WARP UNLESS KEPT DRY, Bords will warp and must keep dry.
THE PLUSH CHAIR LEANED AGAINST THE WALL, The plush cheerleamed begins the wall.
GLASS WILL CLINK WHEN STRUCK BY METAL, Glass will click when struck by metal.
BATHE AND RELAX IN THE COOL GREEN GRASS, Beaten relax on the cool green grass.
NINE ROWS OF SOLDIERS STOOD IN A LINE, Nine rows of soldiers stood in line.
THE BEACH IS DRY AND SHALLOW AT LOW TIDE, The beaches dry and shallow at low tide.
THE IDEA IS TO SOW BOTH EDGES STRAIGHT, The idea is to solve all that you've screwed.
THE KITTEN CHASED THE DOG DOWN THE STREET, Be kitten chased the dog down the street.
PAGES BOUND IN CLOTH MAKE A BOOK, Pages bound in cloth make a book.
TRY TO TRACE THE FINE LINES OF THE PAINTING, Try to trace the fine lines of the pinning.
WOMEN FORM LESS THAN HALF OF THE GROUP, Women form less than half of the group.
THE ZONES MERGE IN THE CENTRAL PART OF TOWN, The zones merge in the central part of town.
A GEM IN THE ROUGH NEEDS WORK TO POLISH," Again, the rough needs work to polish."
CODE IS USED WHEN SECRETS ARE SENT, Code is used when secrets are set.
MOST OF THE NEWS IS EASY FOR US TO HEAR, Most of the news is easy for us to hear.
HE USED THE LATHE TO MAKE BRASS OBJECTS, He used the way to make brass objects.
THE VAIN ON TOP OF THE POLE REVOLVED IN THE WIND, The vein on top of the pole evolved in the wind.
MINCE PIE IS A DISH SERVE TO CHILDREN, Minced by as a dish served to children.
THE CLAN GATHERED ON EACH DULL NIGHT, The clan gathered on each soul mate.
LET IT BURN, Let it plan.
IT GIVES US WARMTH AND COMFORT, It gives us warmth and comfort.
A CASTLE BUILT FROM SAND FAILS TO ENDURE, A castle built from sandfails to endure.
A CHILD'S WIT SAVE THE DAY FOR US, A child's would save the day for us.
TACK THE STRIP OF CARPET TO THE WORN FLOOR, Cut the strip of carpet to the one here.
NEXT TUESDAY WE MUST VOTE, Next Tuesday we must vote.
POUR THE STEW FROM THE POT INTO THE PLATE, Pour the stew from the pot into the plate.
EACH PENNY SHONE LIKE NEW, Each penny show like me.
THE MAN WENT TO THE WOODS TO GATHER STICKS, The man went to the woods together sticks.
THE DIRT PILES WERE LINES ALONG THE ROAD, The dirt piles reliance along the road.
THE LOGS FELL AND TUMBLED INTO THE CLEAR STREAM, The lawns fell and tembled into the clear stream.
JUST HOIST IT UP AND TAKE IT AWAY, Just hoist it up and take it away.
A RIPE PLUM IS FIT FOR A KING'S PALATE, A ripe plum is fit for a king's power.
OUR PLANS RIGHT NOW ARE HAZY, Our plans right now are hazy.
BRASS RINGS ARE SOLD BY THESE NATIVES, Branch rings are sold by these natives.
IT TAKES A GOOD TRAP TO CAPTURE A BEAR, It takes a good trap to capture a bear.
FEED THE WHITE MOUSE SOME FLOWER SEEDS, Feed the white mouse some flower seeds.
THE THAW CAME EARLY AND FREED THE STREAM, The Thakay Merleon freed the stream.
HE TOOK THE LEAD AND KEPT IT THE WHOLE DISTANCE, He took the lead and kept it the whole distance.
THE KEY YOU DESIGNED WILL FIT THE LOOK, The key you design will fit the lock.
PLEAD TO THE COUNCIL TO FREE THE POOR THIEF, Play to the council to free the poor thief.
BETTER HASH IS MADE OF RARE BEEF, Better hash is made of rare beef.
THIS PLANK WAS MADE FOR WALKING ON, This plank was made for walking on.
THE LAKE SPARKLED IN THE RED HOT SUN, The lake sparkled in the red hot sun.
HE CRAWLED WITH CARE ALONG THE LEDGE, He crawled with Carol on the ledge.
TEND THE SHEEP WHILE THE DOG WANDERS, Tend to sheep of the dog wonders.
IT TAKES A LOT OF HELP TO FINISH THESE, It takes a lot of help to finish these.
MARK THE SPOT WITH A SIGN PAINTED RED, Mark the spot with a sign painted red.
TAKE TWO SHARES AS A FAIR PROFIT, Take two shares as a fair profit.
THE FUR OF CATS GOES BY MANY NAMES, The Foo of Catskills by many names.
NORTH WINDS BRING COLDS AND FEVERS, Northwinds bring colds and fevers.
HE ASKS NO PERSON TO VOUCH FOR HIM, He asks no person to vouch for him.
GO NOW AND COME HERE LATER, Go now and come you later.
A SASH OF GOLD SILK WILL TRIM HER DRESS, A sash of beads sink me from Houdres.
SOAP CAN WASH MOST DIRT AWAY, Soup can wash most dirt away.
THAT MOVE MEANS THE GAME IS OVER, That move means the game is over.
HE WROTE DOWN A LONG LIST OF ITEMS, He wrote down a long list of items.
A SIEGE WILL CRACK THE STRONG DEFENCE, As he will crack the strong defense.
GRAPE JUICE AND WATER MIX WELL, Grape juice and water mix well.
ROADS ARE PAVED WITH STICKE TAR, World's Arpaid with Sticky Tart
FAKE STONES SHINE BUT COST LITTLE, Fixed stones shine because little.
THE DRIP OF THE RAIN MADE A PLEASANT SOUND, The drip of the rain made a pleasant sound.
SMOKE POURED OUT OF EVERY CRACK, Smoke poured out of every crack.
SERVE THE HOT RUM TO THE TIRED HEROES, Serve the hot rum to the tired heroes.
MUCH OF THIS STORY MAKES GOOD SENSE, Much of the story makes good sense.
THE SUN CAME UP TO LIGHT THE EASTERN SKY, The sun came up to light the eastern sky.
HEAVE THE LINE OVER THE PORT SIDE, Keep the light over the port side.
A LATHE CUTS AND TRIMS ANY WOOD, A lathe cuts and trims any wood.
IT'S A DENSE CROWD IN TWO DISTINCT WAYS, It's against crowd in two distinct ways.
HIS HIP STRUCK THE KNEE OF THE NEXT PLAYER, He's obstructing me of the next player.
THE STALE SMELL OF OLD BEER LINGERS, The stale smell of old beer lingers.
THE DESK WAS FIRM ON THE SHAKY FLOOR, The desk was firm on the shaky floor.
IT TAKES HEAT TO BRING OUT THE ODOR, It takes you to bring out the order.
BEEF IS SCARCER THAN SOME LAMB, Be fiscarsier than someone.
RAISE THE SAIL AND STEER THE SHIP NORTHWARD, Raise the cell and steer the ship northward.
A CONE COSTS FIVE CENTS ON MONDAYS, A coup in cost five cents on Mondays.
A POD IS WHAT PEAS ALWAYS GROW IN, A pot is what he's always growin'.
JERK THAT DART FROM THE CORK TARGET, juke that out from the court target
NO CEMENT WILL HOLD HARD WOOD, Nilsimet will hold hardwood.
WE NOW HAVE A NEW BASE FOR SHIPPING, We now have a new base for shipping.
A LIST OF NAMES IS CARVED AROUND THE BASE, A list of names is carved around the base.
THE SHEEP WERE LED HOME BY A DOG, The ship will head home by a dog.
THREE FOR A DIME, 3 4 done!
THE YOUNG PEDDLER CRIED, The young Pagler Crod
THE SENSE OF SMELL IS BETTER THAN THAT OF TOUCH, The sense of smell is better than that of touch.
NO HARDSHIP SEEMED TO MAKE HIM SAD, No hardships seem to make him sad.
GRACE MAKES UP THE LACK OF BEAUTY, Grace makes up for lack of beauty.
NODGE GENTLY BUT WAKE HER NOW, Nice jet we've got wake up now.
THE NEWS STRUCK DOUBT INTO RESTLESS MINDS, The news struck out into restless minds.
ONCE WE STOOD BESIDE THE SHORE, Once we stood beside the shore.
A CHINK IN THE WALL ALLOWED A DRAFT TO BLOW," A chink in the wall, a lot of draft to blow."
FASTEN TWO PINS ON EACH SIDE, Fasten two pins on each side.
A COLD DIP RESTORES HEALTH AND ZEST., A cold dip restores health and zest.
HE TAKES THE OATH OF OFFICE EACH MARCH, He takes the Earth of Officer each March.
THE SAND DRIFTS OVER THE SILL OF THE OLD HOUSE, The sand drift's over the sills of the old house.
THE POINT OF THE STEEL PEN WAS BENT AND TWISTED, The point of the steel pan was bent and twisted.
THERE IS A LAG BETWEEN THOUGHT AND ACT, There is a lag between Father Decked.
SEED IS NEEDED TO PLANT THE SPRING CORN, Seed is needed to plant the spring corn.
DRAW THE CHART WITH HEAVY BLACK LINES, Draw the chart with heavy black lines.
THE BOY OWED HIS PAL THIRTY CENTS," The boy it is, pal, 30 cents."
THE CHAP SLIPPED INTO THE CROWD AND WAS LOST, The chap slipped into the crowd and was lost.
HATS ARE WORN TO TEA AND NOT TO DINNER, Hats are worn to tea and not to dinner.
THE RAMP LED UP TO THE WIDE HIGHWAY, The ramp went up to the wide highway.
BEAT THE DUST FROM THE RUG ONTO THE LAWN, Beat the dust from the rug onto the lawn.
SAY IT SLOWLY BUT MAKE IT RING CLEAR, Say it slowly but make it very clear.
THE STRAW NEST HOUSED FIVE ROBINS, The strongest housed five robins.
SCREEN THE PORCH WITH WOVEN STRAW MATS, Screen the portrait woven straw mats.
THIS HORSE WILL NOSE HIS WAY TO THE FINISH, This horse will now his way to the finish.
THE DRY WAX PROTECTS THE DEEP SCRATCH, The dry wax protects the deep scratch.
HE PICKED UP THE DICE FOR A SECOND ROLL, He picked up the dies for a second role.
THESE COINS WILL BE NEEDED TO PAY HIS DEBT, These coins will be needed to pay his debt.
THE NAG PULLED THE FRAIL CART ALONG, The night pulled the frail card along.
TWIST THE VALVE AND RELEASE HOT STEAM, Twist the valve and release hot steam.
THE VAMP OF THE SHOE HAD A GOLD BUCKLE, The vamp of the shoe had a gold buckle.
THE SMELL OF BURNED RAGS ITCHES MY NOSE, The smell of burned rag zik is my nose.
NEW PANTS LACK CUFFS AND POCKETS, New pants like puffs and pockets.
THE MARSH WILL FREEZE WHEN COLD ENOUGH, The marsh will freeze when cold enough.
THEY SLICE THE SAUSAGE THIN WITH A KNIFE, This likes to sausage then with an eye.
THE BLOOM OF THE ROSE LASTS A FEW DAYS, The bloom of the rose lasts a few days.
A GREY MARE WALKED BEFORE THE COLT, A grey man walked before the cold.
BREAKFAST BUNS ARE FINE WITH A HOT DRINK, Breakfast buns are fine with a hot drink.
BOTTLES HOLD FOUR KINDS OF RUM, That is hateful kinds of Rome.
THE MAN WORE A FEATHER IN HIS FELT HAT, The man wore a feather in his skull cap.
HE WHEELED THE BIKE PAST THE WINDING ROAD, He wheeled the bike past the winding road.
DROP THE ASHES ON THE WORN OLD RUG, Drop the ashes on the warning old rug.
THE DESK AND BOTH CHAIRS WERE PAINTED TAN, The guests can both chairs will paint again.
THROW OUT THE USED PAPER CUP AND PLATE, Trow out the used paper cup and plate.
A CLEAN NECK MEANS A NEAT COLLAR, A clean neck means a neat collar.
THE COUCH COVER AND HALL DRAPES WERE BLUE, The couch cover and haul drapes were blue.
THE STEMS OF THE TALL GLASSES CRACKED AND BROKE, The stems of the tall glasses cracked and broke.
THE WALL PHONE RANG LOUD AND OFTEN, The Warphone Ring Loud and Offend
THE CLOTHES DRIED ON A THIN WOODEN RACK, The clothes dried on a thin wooden rack.
TURN OUT THE LANTERN WHICH GIVES US LIGHT, Turn out the lantern which gives us light.
THE CLEAT SANK DEEPLY INTO THE SOFT TURF, Requeue it sanctibly into the soft turf.
THE BILLS WERE MAILED PROMPTLY ON THE TENTH OF THE MONTH, The bills were mailed promptly on the 10th of the month.
TO HAVE IS BETTER THAN TO WAIT AND HOPE, To have his better than to wait and help.
THE PRICE IS FAIR FOR A GOOD ANTIQUE CLOCK, The prices fare for a good antique clock.
THE MUSIC PLAYED ON WHILE THEY TALKED, The music played on while they talked.
DISPENSE WITH A VEST ON A DAY LIKE THIS, Dispense with a vest on a day like this.
THE BUNCH OF GRAPES WAS PRESSED INTO WINE, The bunch of grapes was pressed into wine.
HE SENT THE FIGS, He sent the feds.
BUT KEPT THE RIPE CHERRIES, But kept the wife cherries.
THE HINGE ON THE DOOR CREAKED WITH OLD AGE, The Hinge on the Door creeped with old age.
THE SCREEN BEFORE THE FIRE KEPT IN THE SPARKS, The screen before the fire kept in the sparks.
FLY BY NIGHT AND YOU WASTE LITTLE TIME, Fly by night and you waste little time.
THICK GLASSES HELPED HIM READ THE PRINT, Fit Glasses help to read the print.
BIRTH AND DEATH MARKS THE LIMITS OF LIFE, Birth and death marks the limits of life.
THE CHAIR LOOKED STRONG BUT HAD NO BOTTOM, The chair looks strong but had no bottom.
THE KITE FLEW WILDLY IN THE HIGH WIND, The kite flew wildly in a high wind.
A FUR MUFF IS STYLISH ONCE MORE, A firm enough is stylish once more.
THE TIN BOXS HELD PRICELESS STONES, The toolbox held priceless stones.
WE NEED AN END OF ALL SUCH MATTER, We need an end of all such matter.
THE CASE WAS PUZZLING TO THE OLD AND WISE, The case was puzzling to the old and wise.
THE BRIGHT LANTERNS WERE GAY ON THE DARK LAWN, The bright lanterns were gay on the dark lawn.
WE DON'T GET MUCH MONEY BUT WE HAVE FUN, We don't get much money but we have fun.
THE YOUTH DROVE WITH ZEST, The youth drove with zest.
